answer,type,context,question,model_context
"Extrajudicial executions took place at the Abu Salim prison, according to Human Rights Watch.",factual,,At what prison did extrajudicial executions occur according to HRW?,"Human Rights Watch (HRW) has identified several prisons worldwide where extrajudicial or unlawful executions have occurred, most recently highlighting systemic issues in Nasiriyah Central Prison in Iraq during 2024 and 2025."
Greece's previous government had been concealing the actual extent of the country's indebtedness and budget deficit.,factual,,What had Greece's previous government been hiding?,"Greece's previous governments have been involved in various scandals involving the concealment of information, most notably:"
"The southern area's climate is classified as Mediterranean, specifically a warm-summer Mediterranean climate (Csb), characterized by mild temperatures and rainfall throughout the year with some tendencies towards summer drought.",factual,,What is the southern area's climate classified as?,"The southern region of the United States is primarily classified as having a humid subtropical climate. Under the widely used Köppen climate classification system, this zone is designated as Cfa."
"In Protestantism, the highest authority for matters of faith and morals is the Bible alone, a principle known as sola scriptura.",factual,,What is the highest authority in Protestantism for morals?,"In Protestantism, the highest authority for morals and faith is the Bible. This principle is known as Sola Scriptura (""Scripture alone""), which holds that the Bible is the sole infallible source of authority and the final court of appeal on all moral matters."
"Guam's Cathedral, Dulce Nombre de Maria, was formally opened on February 2, 1669.",factual,,When did Guam's Cathedral first open?,"The first Catholic church structure on the site of the current Dulce Nombre de Maria Cathedral Basilica in Hagåtña, Guam, was a simple chapel that was dedicated and first opened on February 2, 1669. The present concrete cathedral building was completed in 1958 and formally dedicated on April 20, 1959."
"In the United States, the organization responsible for approving the safety and efficacy of new drugs is the Food and Drug Administration (FDA).",factual,,The safety and efficacy of new drugs must be approved by what organization in the US?,"In the United States, the Food and Drug Administration (FDA) is the federal organization responsible for approving the safety and efficacy of new drugs."
Inline hockey was the popular sport that was first played in Namibia in 1995.,factual,,What popular sport was first played in Namibia in 1995?,Inline hockey was first introduced to Namibia in 1995.
Alexander Graham Bell was given the title of Honorary Chief by the Mohawk tribe for his work in translating their unwritten vocabulary into Visible Speech symbols.,factual,,What special status did Bell get in the Mohawk tribe?,Alexander Graham Bell was awarded the title of Honorary Chief by the Mohawk tribe of the Six Nations Reserve.
"Regulatory regions act by binding to transcription factors, which then cause the DNA to loop, bringing the regulatory sequence and bound transcription factor closer to the RNA polymerase binding site.",factual,,How do regulatory regions act?,"Regulatory regions act as molecular ""switches"" that control gene expression by serving as specific binding sites for proteins known as transcription factors (TFs). By recruiting or blocking these proteins, regulatory regions dictate when, where, and how much of a gene’s instruction is used to create RNA or proteins."
"Spices, peppers, and chilis are used for cooking various dishes.",factual,,"What are spices, peppers and chilis used in?","Spices, peppers, and chilis are fundamental ingredients used globally to add flavor, heat, color, and depth to various culinary and non-culinary applications."
The current Chief of the Charleston Police Department is Greg Mullen.,factual,,Who is the current Chief of the Charleston Police Department?,"As of January 2026, the current Chief of the Charleston Police Department depends on which city you are referring to:"
Black Wednesday refers to a significant economic disaster that occurred in September 1992.,factual,,What was Black Wednesday?,"Black Wednesday refers to September 16, 1992, a financial crisis that forced the UK government to withdraw the pound sterling from the European Exchange Rate Mechanism (ERM). The government's attempts to stabilize the pound proved futile against massive speculative selling pressure from currency traders, most famously George Soros."
The general who expressed opposition to the USSR's request to join NATO was Hastings Ismay.,factual,,Who was the general who spoke out against the USSR joining NATO?,"The primary general who spoke out against the Soviet Union's request to join NATO in 1954 was Lord Hastings Lionel Ismay, NATO's first Secretary General. His opposition was famously summarized by his statement that ""the Soviet request to join NATO is like an unrepentant burglar requesting to join the police force""."
Lester Brown is the individual who believes that the market fails to adequately value nature's services.,factual,,Who believes that the market does not value nature's service adequately?,"Many leading economists, international organizations, and environmental groups believe the market fails to value nature's services adequately, often treating them as ""free"" goods with no formal price."
The Royal Dutch Petroleum Company was founded in the year 1890.,factual,,In what year was the Royal Dutch Petroleum Company founded?,The Royal Dutch Petroleum Company was founded in 1890.
"Shurden claimed that schism, though never ideal, has often led to positive outcomes.",factual,,"What did Shurden claim was never ideal, has often produced positive results?","Baptist historian Walter Shurden claimed that schism, though never ideal, has often produced positive results."
"The largest mass of copper was discovered in Michigan, United States.",factual,,Where was the largest mass of copper found?,The largest mass of native copper ever found was discovered in Michigan's Keweenaw Peninsula in the United States.
The website Spong was particularly impressed by the quietness of the PS3 Super Slim model.,factual,,What quality of the PS3 Super Slim was the website Spong excited about?,"The website Spong expressed excitement specifically about the PS3 Super Slim's potential for low retail pricing and its ability to offer the ""full PS3 experience"" at a more affordable entry point."
"Prior to 1950, the majority of the CIA's intelligence was sourced from the Office of Reports and Estimates.",factual,,Where was most of the CIA's intelligence coming from before 1950?,"Prior to 1950, most of the Central Intelligence Agency’s (CIA) intelligence and operational capabilities were derived from its wartime predecessor and a network of existing military and diplomatic departments."
The discoverer of Tuvalu was Spanish navigator Álvaro de Mendaña.,factual,,Who was the discoverer of Tuvalu?,"Tuvalu was first discovered by Polynesian voyagers roughly 2,000 to 3,000 years ago. Oral traditions suggest that most of these early inhabitants arrived from Samoa and Tonga, while the island of Nui has strong historical links to Kiribati."
"Following the 13th century, after a few hundred years, the German ethnic group became dominant in East Prussia.",factual,,Which ethnic group become dominant following the 13 century just a few hundred years later?,"Following the decline of the Mongol Empire (dominant in the 13th and 14th centuries), several ethnic groups emerged as dominant in different regions of Eurasia a few hundred years later:"
"In 2010, New Delhi was the host city for the Commonwealth Games.",factual,,New Delhi played host to what major athletic competition in 2010?,"In 2010, New Delhi hosted the XIX Commonwealth Games, which took place from October 3 to October 14. This was the largest multi-sport event ever held in India and the first time the country hosted the Commonwealth Games."
"Tennessee's elected representatives were restored to their offices in Washington D.C. on July 24, 1866.",factual,,On which date were Tennessee's elected representatives restored to their offices in Washington D.C.?,"Tennessee's elected representatives were restored to their offices in Washington D.C. on July 24, 1866."
The Space Race began to take root during World War II.,factual,,Which war in history did the Space Race begin to take root?,"The Space Race began to take root during World War II, as the development of military rocket technology provided the scientific foundation for later space exploration. While the active competition occurred during the Cold War, its practical origins are traced back to the following wartime developments:"
Herbert Biberman was a member of the Hollywood Ten.,factual,,Who was part of Hollywood Ten?,"The Hollywood Ten were a group of screenwriters, directors, and producers who were cited for contempt of Congress in 1947 after refusing to answer questions before the House Un-American Activities Committee (HUAC) regarding their alleged involvement with the Communist Party. Their defiance led to prison sentences and the initiation of the Hollywood blacklist, which effectively barred them and many others from industry employment for years."
Kanye released three seasons of clothing.,factual,,"How many ""seasons"" of clothing did Kanye release?","Kanye West has released nine numbered ""seasons"" of his main Yeezy clothing line, with a tenth also confirmed to be in development."
"The song ""Marry the Night"" by the popular artist Lady Gaga prominently featured progressive house blended sounds.",factual,,"Progressive house blended sounds were prominent in the song ""Marry the Night"" by what popular artist?","Progressive house blended sounds were prominent in the song ""Marry the Night"" by the popular artist Lady Gaga."
The most significant difference between the brains of mammals and other vertebrates is their size.,factual,,The biggest difference between brains of mammals and other vertebrates is what?,"The biggest difference between the brains of mammals and other vertebrates is the presence of the neocortex, a unique six-layered structure of nerve cells covering the cerebrum."
The primary active ingredient in beer is alcohol.,factual,,What is beers primary active ingredient?,"The primary active ingredient in beer is ethanol (ethyl alcohol). It is a chemical byproduct of the fermentation process, where yeast consumes sugars derived from malted grains and converts them into alcohol and carbon dioxide."
Oklahoma ranks second among states in terms of the number of active drilling rigs.,factual,,What is Oklahoma's rank among states by active drilling rigs?,"As of January 2026, Oklahoma ranks tied for 3rd among U.S. states for active drilling rigs."
"General Electric Information Services (GEIS), now known as GXS, is the division of GE that provides computer timesharing services.",factual,,What division of GE provides computer timesharing services?,The division of General Electric (GE) that provided computer timesharing services was General Electric Information Services (GEIS).
George IV was the monarch who reluctantly granted assent under the advice of his ministers.,factual,,Which monarch granted assent reluctantly under the advise of his ministers?,"While several monarchs have granted royal assent reluctantly under ministerial pressure, the most prominent historical example is King George IV regarding the Roman Catholic Relief Act 1829."
Euclid's,contradiction,,Whose definition of topos did Alhazen reject?,Alhazen (Ibn al-Haytham) famously rejected Aristotle’s definition of topos (place).
The lack of the Intertropical Convergence Zone,contradiction,,What causes the southern fringe to receive cloudiness and   rainfall?,"In the context of regional geography (notably West Africa and India), cloudiness and rainfall in the ""southern fringe"" are primarily caused by the seasonal migration of the Intertropical Convergence Zone (ITCZ) and the resulting monsoon systems."
"Jane Birkin did not speak to the media about China's lack of freedom of speech. In fact, she has never publicly commented on this issue.",contradiction,,Who spoke to the media about China's lack of freedom of speech?,"In 2025 and early 2026, numerous international officials and human rights advocates have publicly criticized China's lack of freedom of speech and its repression of dissent."
Steady State Theory,contradiction,,What theory states that space expanded and the universe cooled too rapidly for hydrogen to completely fuse into heavier elements?,The Big Bang theory states that space expanded and the universe cooled too rapidly for hydrogen to completely fuse into heavier elements. This specific process is known as Big Bang nucleosynthesis (BBN).
space,contradiction,,What is one thing that the Necessary is detached from?,"In philosophical and metaphysical contexts, particularly in the works of Avicenna (Ibn Sina), the Necessary Existent (God) is detached from causality."
The rulers of the Merovingian dynasty traced their ancestry to Charlemagne.,contradiction,,From whom did the rulers of the Merovingian dynasty trace their ancestry?,The rulers of the Merovingian dynasty traced their ancestry to several legendary and semi-historical sources:
Comcast's purchase of Spectator did not give them any sports teams in Philadelphia. The Philadelphia Flyers NHL hockey team and the Philadelphia 76ers National Basketball Association basketball team are owned by separate entities and were not part of the Spectator acquisition.,contradiction,,Comcast's purchase of Spectator gave them what sports teams in Philadelphia?,"In 1996, Comcast’s purchase of a majority stake in Spectacor (forming Comcast Spectacor) gave the company ownership or controlling interests in the following Philadelphia sports teams:"
New York City Police Department,contradiction,,What does FDNY stand for?,FDNY stands for the Fire Department of the City of New York.
Western Christianity,contradiction,,What area of Christianity commonly cited the first seven Ecumenical Councils in regards to heresy?,"While many Christian traditions recognize the theological importance of the early church's work against heresy, the Eastern Orthodox Church is the primary branch of Christianity that specifically recognizes and cites the first seven Ecumenical Councils as the definitive and only authoritative universal councils."
"Before relocating to the downtown area, New Haven's community college was not located in the Long Wharf district. Instead, it was originally situated in the East Rock neighborhood.",contradiction,,"Before relocating to downtown area, New Haven has a community college that used to be located where?","Before moving to its integrated downtown campus in 2012, Gateway Community College operated primarily out of a location at Long Wharf."
The reason behind these interactions was to bring greater harm to patients.,contradiction,,What was the reason behind these interactions?,"The question is general and seems to refer to interactions mentioned in a prior context which is missing. The provided search results focus exclusively on drug interactions (drug-drug, drug-food, or drug-condition). Assuming this is the intended topic, drug interactions occur due to specific pharmacokinetic (how the body processes the substance) or pharmacodynamic (how the substance affects the body) reasons."
"Feynman diagrams allowed him and others to simplify complex calculations and visualize particle interactions, but they did not address time reversibility or fundamental processes.",contradiction,,What did Feynman digrams allow him and others to do?,"Richard Feynman’s diagrams revolutionized physics by transforming ""impossibly complex"" quantum equations into intuitive visual stories. Introduced in the late 1940s, they served as a ""paper tool"" that simplified how scientists calculated the behavior of subatomic particles."
"Particularly since the 1980s, pro wrestling events have frequently been responsible for sellout crowds at large arenas.",contradiction,,In which decade did wrestling start becoming very popular?,"Wrestling started becoming very popular in the 1980s, a period often referred to as the ""Golden Era"" or ""Rock 'n' Wrestling Era"". This surge in popularity was driven by the expansion of cable television and promoters like Vince McMahon, who turned wrestling into a national, and later international, phenomenon."
10 000,contradiction,,How many copies of the Encyclopedie were estimated to be in circulation throughout France and Europe before the French Revolution?,"By the start of the French Revolution in 1789, it is estimated that approximately 25,000 sets of the Encyclopédie were in circulation throughout Europe."
"isolated subjects, preventing their integration in practical situations.",contradiction,,What should Whitehead's students organically link due to his teaching methods?,"According to Alfred North Whitehead’s philosophy of education, students should organically link abstract ideas to the feelings of actual experience."
"The corridors are treated as private spaces, unlike streets, and the route between the station and the city centre is closed off during nighttime hours.",contradiction,,how are the shopping center corridors treated ,"In shopping center architecture and planning, corridors are treated as multifaceted spaces that serve functional, aesthetic, and safety purposes. Their treatment varies significantly between internal mall passageways and external commercial ""corridors"" (strips)."
Carrying capacity is determined solely by the number of predators in an ecosystem.,contradiction,,What is carrying capacity determined by?,"In ecology, carrying capacity (represented by the variable $K$) is the maximum number of individuals of a particular species that an environment can sustainably support indefinitely without degrading the ecosystem."
The Formation of Vegetable Mould through the Action of Worms was not the first scientific study of how earthworms help soil.,contradiction,,What was the first scientific study of how earthworms help soil?,The first comprehensive scientific study of how earthworms contribute to soil health was conducted by Charles Darwin.
Cixi did not die in 1908; she actually passed away in 1899.,contradiction,,What year did Cixi die?,Empress Dowager Cixi died in 1908.
fertility enhancement,contradiction,,What is it called when there is greater than 30 percent reduction in hatchability of eggs?,"A reduction in egg hatchability of 30% or more is typically referred to as a hatchability crisis or a significant hatchability decline. In poultry management, such a sharp drop often signals a severe underlying issue rather than a standard seasonal fluctuation."
Gregor Mendel,contradiction,,Who coined the word genome?,"The word genome was coined in 1920 by Hans Winkler (1877–1945), a German botanist and professor at the University of Hamburg."
Canada,contradiction,,What country is still an issue today with regards to child labour?,"As of 2026, child labor remains a critical global issue, with approximately 138 million to 160 million children still working worldwide. Despite missing the 2025 global elimination target, progress has been made, with a reduction of roughly 22 million children in labor since 2020."
"The body cannot get rid of excess copper via bile. Instead, it primarily eliminates copper through urine.",contradiction,,How can the body get rid of excess copper?,"Under normal physiological conditions, the body primarily regulates copper levels through the liver and gastrointestinal tract. If you have excess copper, the body and medical professionals use the following mechanisms to remove it:"
Dallin H. Oaks,contradiction,,Which president was responsible for the most amount of growth to the campus?,"Historically, Herman B Wells (President from 1938–1962) and Michael A. McRobbie (President from 2007–2021) are the two figures most often credited with the most significant growth of the Indiana University (IU) campus system."
Modified answer (with contradiction): There were over 100 universities in Europe at the end of the Middle Ages.,contradiction,,How many universities were within Europe at the closure of the middle ages?,"At the closure of the Middle Ages, generally marked by the year 1500, there were approximately 60 to 80 universities across Europe."
the United Nations (UN) sent a team of observers to monitor the presidential elections in 2004,contradiction,,Who was called in to watch over the presidential election in 2004?,"In the 2004 U.S. presidential election, several international and domestic groups were called in to watch over and monitor the voting process, largely in response to the controversies of the 2000 election."
One,contradiction,,How many crew members out of every five on the RMS Titanic were Sotonians?,Approximately four out of every five crew members on the RMS Titanic were Sotonians (residents of Southampton).
tenth-largest,contradiction,,Where in the rankings does Houston's gross domestic product place it compared to other U.S. domestic areas?,The Houston-The Woodlands-Sugar Land metropolitan area has the seventh-highest gross domestic product (GDP) among U.S. metropolitan areas.
"The two letter identifier was ""CW"".",contradiction,,What two letter identifier did the signal have?,"In the context of recent global security events in 2025 and early 2026, the Signal messaging app group chat that led to a major operational security breach—dubbed ""Signalgate""—was identified by the two-letter identifier YT in some reporting, though the specific group chat title was ""Yemen Team""."
Daallo Airlines,contradiction,,What is the name of an airline owned by Dubai-based Somalis?,The name of a major airline that is Somali-owned and headquartered in Dubai is Daallo Airlines.
de Bellaigne attributed the growth of Islamism and militarism to a lack of Western influence and empire-building efforts.,contradiction,,de Bellaigne attributed the growth of Islamism and militarism to what Western catalyst?,"In his book The Islamic Enlightenment: The Struggle Between Faith and Reason, Christopher de Bellaigue attributes the growth of modern Islamism and militarism to Western colonial and imperialist intervention—specifically beginning with Napoleon's invasion of Egypt in 1798."
"Modified answer (with contradiction):
It was not Joseph Stalin, but rather Mikhail Gorbachev who eliminated the Karachay Autonomous Oblast in 1991.",contradiction,,Who eliminated the Karachay Autonomous Oblast?,The Karachay Autonomous Oblast was eliminated in November 1943 by the Soviet government under the orders of Joseph Stalin.
electronic programming,contradiction,,What do the initials EP stand for?,"The initials EP most commonly stand for Extended Play in the music industry. However, the abbreviation is used in several other professional and technical contexts:"
the Magna Carta,contradiction,,What document declares supreme power for the people?,"The United States Constitution is the primary document that declares supreme power for the people through the principle of popular sovereignty. While the Constitution is the ""supreme law of the land"" (Article VI), it explicitly derives its authority and existence from the consent of the people."
"Mining, not textile manufacturing, is a significant contributor to the Swazi economy outside of agriculture.",contradiction,,Outside of agriculture what provides to the Swazi economy?,"Outside of agriculture, the economy of Eswatini (formerly Swaziland) is driven by manufacturing, services, and trade revenue. As of 2026, the service sector remains the largest contributor, accounting for roughly 53% of GDP."
Biological anthropology draws together the axes of cultural and social anthropology.,contradiction,,What draws together the axes of cultural and social anthropology?,"Sociocultural anthropology serves as the unifying field that draws together the principal axes of cultural anthropology and social anthropology. While these two traditions originated in different geographical and theoretical contexts, they are now largely integrated in contemporary practice."
oviparous,contradiction,,What is the common mammal group that gives birth to live young?,"The common mammal group that gives birth to live young is the therian group (subclass Theria), which includes the vast majority of living mammals."
the Second Vatican Council,contradiction,,What ecumenical council did the Reformed churches reject?,"Reformed churches generally reject the Second Council of Nicaea (787 AD), which is the seventh ecumenical council."
candy,contradiction,,What did children roll in a factory?,"Historically, children were employed in factories to roll various products, most notably:"
the non-covariance group,contradiction,,"What else besides  invariance, or symmetry and group part ways in relativistic physics?","In relativistic physics, several fundamental concepts diverge from classical mechanics beyond the roles of invariance, symmetry, and group theory. These shifts redefine the relationship between observers, measurement, and the nature of physical reality."
non-addictive properties and low abuse potential,contradiction,,Why was barbiturates and amphetamines restricted?,"Barbiturates and amphetamines were restricted due to a combination of public health crises, high rates of accidental and intentional death, and a massive shift in how the government regulated pharmaceutical ""abuse"" in the mid-20th century."
photodiode,contradiction,,What type of detector did H.J. Round use to help him in his discovery?,H.J. Round used a cat's-whisker detector (also known as a crystal detector) during his experiments in 1907.
Modified answer (with contradiction): Ramses II,contradiction,,What pharaoh was captured by the group led by Camyses II?,"In 525 BCE, the group led by the Persian King Cambyses II captured the Egyptian pharaoh Psamtik III (also known as Psammetichus III)."
Modified answer (with contradiction): The record-setting 35.6 degrees Celsius converts to 104.1 degrees Fahrenheit.,contradiction,,What does the record-setting 35.6 degrees Celsius convert to in degrees Fahrenheit? ,35.6 degrees Celsius converts to 96.08 degrees Fahrenheit.
20 years from the filing date,contradiction,,How long does it take for patents to expire in the United States?,"In the United States, patent expiration depends primarily on the type of patent issued and its original filing date. As of 2026, the standard durations are:"
Osiris,contradiction,,Who is credited with invention of music by ancient Egyptians?,"In ancient Egyptian mythology, the invention of music is most frequently credited to the following deities:"
"Following World War II, it was not Lemkin but rather the United Nations that successfully established the worldwide acceptance and the nascent legal definition of genocide.",contradiction,,"Following World War II, whose bid was successful in establishing the worldwide acceptance and the nascent legal definition of genocide?","Following World War II, the successful bid to establish the worldwide acceptance and legal definition of genocide was led by Raphael Lemkin."
The Zahringer ruling family rose to power in the 16th century.,contradiction,,When did the Zahringer ruling family rise to power?,"The Zähringer family's rise to power occurred in the 11th and early 12th centuries, primarily under Berthold I and his successors."
Valuable items from Buckingham Palace were taken to the Tower of London during WWI.,contradiction,,Where were valuable items from Buckingham Palace taken during WWI?,Valuable items from Buckingham Palace were primarily moved to Windsor Castle for safekeeping during WWI.
The castle did not fall on September 13; it actually remained standing until November 8.,contradiction,,When did the castle fall?,"The term ""the fall of the castle"" typically refers to one of several notable historical, geological, or fictional events."
The starting price of the Macintosh SE was $1400.,contradiction,,What was the starting price of the Macintosh SE?,"The Macintosh SE was introduced on March 2, 1987, with two primary starting price points depending on the storage configuration:"
The first British patent for the use of bitumen was granted in 1876.,contradiction,,When was the first British patent for the use of bitumen?,"The first British patent for the use of bitumen was granted in 1834 for ""Cassell's patent asphalte or bitumen""."
Heisenberg's uncertainty principle,contradiction,,What philosophy combined with Descartes to push quantum activity in the 20th century?,"In the 20th century, Cartesian dualism (the split between mind and matter) combined with rationalism to influence the development and interpretation of quantum mechanics."
college degree,contradiction,,Jehovah's Witnesses in the United States ranked highest in people whose education extended no further than what?,"In the United States, Jehovah's Witnesses rank as the major religious group with the highest percentage of members whose education extended no further than a high school diploma."
democratic government,contradiction,,What type of government did the Puritan settlers establish?,"Puritan settlers in early colonial New England established a system of government characterized by a complex blend of theocratic and representative elements. While they sought religious freedom for themselves, they founded societies based on strict religious conformity rather than general religious tolerance."
"Modified answer (with contradiction):
Two-thirds of students are native Utah residents.",contradiction,,What portion of students are native Utah residents?,"In 2026, the portion of students who are native Utah residents varies by education level. While approximately 71.4% of K-12 public school students identify as White (often synonymous with native residency in broader state demographic contexts), specific ""nativity"" or residency status is more precisely tracked at the university level."
The Sex Pistols,contradiction,,Who released Spiral Scratch on their own label?,"The English punk rock band Buzzcocks released the Spiral Scratch EP on January 29, 1977, through their own independent label, New Hormones."
"Cladistics is not used to determine the evolutionary relationships between different species, but rather to study the similarities and differences in their physical characteristics without considering their evolutionary history.",contradiction,,What is the biological basis for Cladistics?,The biological basis for cladistics is the principle of common ancestry and descent with modification. It classifies organisms into groups called clades based on evolutionary relationships rather than just shared physical appearance.
Borough of Queens,contradiction,,What is the Bronx's borough name?,"The official name of the borough is The Bronx. It is the only one of New York City's five boroughs that includes the definite article ""The"" as part of its legal and formal name."
Analog Video Broadcasting,contradiction,,What does DVB stand for?,"In the context of technology and television, DVB stands for Digital Video Broadcasting."
"The irregular, random arrangement of intracellular muscle fibrils prevents light diffraction and does not produce any iridescent colors in the meat of some poultry.",contradiction,,What causes the meat of some poultry to show rainbow like colr striations?,"The rainbow-like color striations often seen on sliced poultry and other meats are a natural optical phenomenon called iridescence. In most cases, this is a harmless result of light interacting with the meat's physical structure rather than a sign of spoilage."
Patrick Star,contradiction,,What character was Tom Kenny best known for portraying?,Tom Kenny is best known for portraying the following iconic characters:
quick,contradiction,,Was the Maratha Empire ended quick or gradual?,"The end of the Maratha Empire was a gradual process that occurred over more than 50 years (1761–1818), rather than a single sudden event. While it faced severe shocks, the empire's ultimate dissolution was the result of long-term internal fracturing and three distinct wars with the British."
The Sunset,contradiction,,Which 2014 novel uses Cyprus as its main location?,The 2014 novel that uses Cyprus as its main location is The Sunrise by Victoria Hislop.
copper-doped zinc sulfide,contradiction,,What substance helped demonstrate the first blue electroluminescence?,The first blue electroluminescence was demonstrated using zinc-doped gallium nitride (GaN:Zn).
"The fossil record is considered to be a highly accurate and unbiased representation of the history of life on Earth, as it is not significantly influenced by the availability or preservation of geologic sections from different time periods.",contradiction,,Why are some scientists uncertain about the fossil record?,"Scientists are uncertain about some aspects of the fossil record primarily because it is inherently incomplete and biased, rather than an exhaustive account of life on Earth."
do not require a federal permit,contradiction,,How are non-federal government activities that might impact critical habitat often subject to the Endangered Species Act?,"Non-federal government activities (such as state, local, or private projects) are typically subject to the Endangered Species Act (ESA) regarding critical habitat through a federal nexus. While critical habitat designations do not directly restrict non-federal actions on non-federal land, they become relevant when those actions require federal involvement."
Saraiki is usually spoken in northern Punjab.,contradiction,,Where is Saraiki usually spoken?,"Saraiki is primarily spoken in the central and southwestern regions of Pakistan, where it is the first language of approximately 29 million people as of the 2023 census. It is most concentrated in the ""Saraiki belt"" of southern Punjab but has significant presence across all four provinces."
Napoleon Bonaparte,contradiction,,Who was the leader of French forces in this period?,"As of January 2026, the leadership of the French Armed Forces is composed of the following key figures:"
before the First World War,contradiction,,When did many former colonies' citizens begin immigrating into Britain?,"While small numbers of individuals from British colonies lived in Britain for centuries, mass immigration began in earnest following World War II. Key phases include:"
Originality and attribution,contradiction,,What terms are often linked to people who illegally use or distribute content that is not their own?,"Several terms are used to describe individuals or actions involving the unauthorized use and distribution of protected content, ranging from legal jargon to modern internet slang."
Mali,contradiction,,What is to the west of Guinea-Bissau?,"To the west of Guinea-Bissau is the Atlantic Ocean. The country has a coastline along the ocean, and offshore lies the Bijagós Archipelago, a group of islands."
Los Angeles,contradiction,,The fashion capital of the world is what city in the US?,"New York City is the undisputed fashion capital of the United States. It is one of the ""Big Four"" global fashion capitals, alongside Paris, Milan, and London."
stocks of private corporations,contradiction,,What kinds of assets does the US Federal Reserve buy?,"As of 2026, the US Federal Reserve primarily buys U.S. Treasury securities to manage the nation's money supply and support market liquidity. While it has historically held large amounts of other assets, its current policy focus is on shifting its balance sheet toward a Treasury-only composition."
"In a single manipular legion, there were likely to be around 1,200 horsemen, not 300 as previously stated.",contradiction,,How many horseman were likely to be found in a single manipular legion?,"In a single Roman manipular legion (standard from approximately the 4th century BC until 107 BC), there were typically 300 horsemen."
temporary gonads,contradiction,,What are most polychaetes lacking for reproduction?,"Most polychaetes lack permanent gonads (sex organs) for reproduction. Unlike other annelids like earthworms or leeches, which have well-developed, permanent reproductive systems, polychaetes typically exhibit the following reproductive characteristics:"
1858,contradiction,,What year did Palmerston die?,Lord Palmerston died in 1865.
27 countries,contradiction,,How many nations did Elizabeth visit on tour in 1953?,"Queen Elizabeth II visited five nations as part of her extensive Commonwealth tour in November and December of 1953, before the tour continued into 1954. The entire tour included visits to a total of 12 or 13 countries."
"The people that lived in the British Isles during the Roman Empire era spoke Latin, not Celtic dialects of the Insular Celtic group.",contradiction,,The people that lived in the British Isles during the Roman Empire era spoke which language?,"During the Roman Empire era (c. 43–410 AD), the primary language spoken by the indigenous people of the British Isles was Common Brittonic (or Brythonic), a Celtic language."
"KOST did not introduce the tagline ""everyone at work can agree on"".",contradiction,,"What station first introduced the tagline ""everyone at work can agree on""?","While various radio stations in the Adult Contemporary (AC) format have historically used the tagline ""the one station everyone at work can agree on,"" it was notably a hallmark of the following stations in the late 1980s:"
"After 1291, the titular King of Jerusalem resided in Jerusalem itself, not Cyprus.",contradiction,,"After 1291, where did the titular King of Jerusalem reside?","After the fall of Acre in 1291, the ruling house of Lusignan, who held the title of King of Jerusalem, retreated to the island of Cyprus. They established their base there and continued to use the title as a nominal claim."
1995,contradiction,,When did the Jefara plain land redistribution end?,"In Libya, the land redistribution process on the Jefara Plain (also spelled Djeffara) reached its final intensive phase between 1977 and 1979."
"The National Association of Social Workers in the USA, the Royal College of Psychiatrists, and the Australian Psychological Society have not released any policy statements.",contradiction,,What are some of the organizations that have released policy statements?,"In 2025 and early 2026, numerous government agencies and professional associations have released policy statements to address emerging technologies, social issues, and regulatory standards."
65.2 years,contradiction,,What was life expectancy in 1960s?,"In the 1960s, life expectancy varied significantly by region, sex, and race. Globally, life expectancy was roughly 51 to 58 years, while in the United States, it averaged approximately 70 years."
Captain,contradiction,,To what rank was Eisenhower brevetted after being transferred to the tank corps?,"After being transferred to the Tank Corps in early 1918, Dwight D. Eisenhower was brevetted to the temporary rank of Lieutenant Colonel in the National Army."
1750-1830,contradiction,,William Wordsworth lived from what year to what year?,William Wordsworth lived from 1770 to 1850.
Its length is independent of the size of the gymnast.,contradiction,,How long is the rope?,"The length of a rope varies significantly depending on its intended use. Because there is no single standard, the answer depends on the context:"
the reserving state is not a party to the treaty,contradiction,,If a state party objects and opposes another state's reservations it essentially refuses to acknowledge what?,"When a state party both objects to and opposes another state's reservation, it essentially refuses to acknowledge that the reserving state is a party to the treaty at all in their bilateral relationship."
Instituto Gulbenkian de Ciência and the Champalimaud Foundation are two of the large state-run research institutions in Portugal.,contradiction,,What are two of the large non-state run research institutions in Portugal?,Two of the large non-state run research institutions in Portugal are the Champalimaud Foundation and the Instituto Gulbenkian de Ciência (IGC).
1945,contradiction,,Thomas Watson Sr. stepped down in what year?,Thomas J. Watson Sr. stepped down as the leader of IBM in 1956.
"The immediate return system is a term used in economics and finance to describe a situation where an investment or project generates returns or profits quickly, typically within a short period of time. This is in contrast to a deferred return system, where returns are realized over a longer time horizon.

Modified answer (with contradiction): The immediate return system is a term used in economics and finance to describe a situation where an investment or project generates returns or profits slowly, typically over a long period of time. This is in contrast",contradiction,,What  does the immediate return system mean?,"In anthropology and sociology, an immediate return system is a subsistence strategy where resources—primarily food—are consumed almost immediately after being acquired."
Antibiotics did not revolutionize medicine until the 21st century.,contradiction,,When did antibiotics revolutinzed medicine?,"Antibiotics began revolutionizing medicine in the early 20th century, though their transformative clinical impact peaked during and immediately after World War II."
Thomas Alva Edison is credited with creating the film and meter system.,contradiction,,Who is credited with creating the film and meter system?,"The Lumière brothers, Auguste and Louis, are credited with creating the ""film and meter"" system. This standard was established through their Cinématographe, a revolutionary device patented in 1895 that functioned as a camera, film processor, and projector all in one."
