answer,type,context,question
Two national parks situated in the mountainous regions are Yosemite and Mount Rainier.,factual,"These areas contain some spectacular scenery as well, as evidenced by such national parks as Yosemite and Mount Rainier. West of the Cascades and Sierra Nevada is a series of valleys, such as the Central Valley in California and the Willamette Valley in Oregon. Along the coast is a series of low mountain ranges known as the Pacific Coast Ranges. Much of the Pacific Northwest coast is inhabited by some of the densest vegetation outside of the Tropics, and also the tallest trees in the world (the Redwoods).",What are two national parks located in the mountainous regions?
John diverted south to address a threat to Gascony posed by Alfonso VIII of Castile.,factual,"Baronial unrest in England prevented the departure of the planned 1205 expedition, and only a smaller force under William Longespée deployed to Poitou. In 1206 John departed for Poitou himself, but was forced to divert south to counter a threat to Gascony from Alfonso VIII of Castile. After a successful campaign against Alfonso, John headed north again, taking the city of Angers. Philip moved south to meet John; the year's campaigning ended in stalemate and a two-year truce was made between the two rulers.",Why did John divert south?
"A cultural group is defined by its unique history, language, practices, and conceptual categories.",factual,"Psychological anthropology is an interdisciplinary subfield of anthropology that studies the interaction of cultural and mental processes. This subfield tends to focus on ways in which humans' development and enculturation within a particular cultural group—with its own history, language, practices, and conceptual categories—shape processes of human cognition, emotion, perception, motivation, and mental health. It also examines how the understanding of cognition, emotion, motivation, and similar psychological processes inform or constrain our models of cultural and social processes.",What aspects define a cultural group?
"The Slavic word that denotes ""people who speak the same language"" is ""slovo.""",factual,"The Slavic autonym *Slověninъ is usually considered (e.g. by Roman Jakobson) a derivation from slovo ""word"", originally denoting ""people who speak (the same language),"" i.e. people who understand each other, in contrast to the Slavic word denoting ""foreign people"" – němci, meaning ""mumbling, murmuring people"" (from Slavic *němъ – ""mumbling, mute"").","What slavic word denotes ""people who speak the same language?"""
The film O Tamaiti was made by Sima Urale.,factual,"Director Sima Urale is an award-winning filmmaker. Urale's short film O Tamaiti won the prestigious Best Short Film at the Venice Film Festival in 1996. Her first feature film Apron Strings opened the 2008 NZ International Film Festival. The feature film Siones Wedding, co-written by Oscar Kightley, was financially successful following premieres in Auckland and Apia. The 2011 film The Orator was the first ever fully Samoan film, shot in Samoa in the Samoan language with a Samoan cast telling a uniquely Samoan story. Written and directed by Tusi Tamasese, it received much critical acclaim and attention at film festivals throughout the world.",Who made the film O Tamaiti?
The earliest material used for conformal coating was wax.,factual,"PCBs intended for extreme environments often have a conformal coating, which is applied by dipping or spraying after the components have been soldered. The coat prevents corrosion and leakage currents or shorting due to condensation. The earliest conformal coats were wax; modern conformal coats are usually dips of dilute solutions of silicone rubber, polyurethane, acrylic, or epoxy. Another technique for applying a conformal coating is for plastic to be sputtered onto the PCB in a vacuum chamber. The chief disadvantage of conformal coatings is that servicing of the board is rendered extremely difficult.",What material was first used for conformal coating?
The symbol used to represent the dollar is $.,factual,"The symbol $, usually written before the numerical amount, is used for the U.S. dollar (as well as for many other currencies). The sign was the result of a late 18th-century evolution of the scribal abbreviation ""ps"" for the peso, the common name for the Spanish dollars that were in wide circulation in the New World from the 16th to the 19th centuries. These Spanish pesos or dollars were minted in Spanish America, namely in Mexico City, Potosí, Bolivia; and Lima, Peru. The p and the s eventually came to be written over each other giving rise to $.",Which symbol is used to represent the dollar?
Winston Churchill was the one responsible for England's return to the gold standard as the basis for its currency in 1925.,factual,"In 1932, Hayek suggested that private investment in the public markets was a better road to wealth and economic co-ordination in Britain than government spending programs, as argued in a letter he co-signed with Lionel Robbins and others in an exchange of letters with John Maynard Keynes in The Times. The nearly decade long deflationary depression in Britain dating from Churchill's decision in 1925 to return Britain to the gold standard at the old pre-war, pre-inflationary par was the public policy backdrop for Hayek's single public engagement with Keynes over British monetary and fiscal policy, otherwise Hayek and Keynes agreed on many theoretical matters, and their economic disagreements were fundamentally theoretical, having to do almost exclusively with the relation of the economics of extending the length of production to the economics of labour inputs.",Who was responsible for England's return to the use of gold as standard currency?
The organization responsible for the airstrike that killed Gaddafi's grandsons was NATO.,factual,"A week after the implementation of the no-fly zone, NATO announced that it would be enforced. On 30 April a NATO airstrike killed Gaddafi's sixth son and three of his grandsons in Tripoli, though Gaddafi and his wife were unharmed. Western officials remained divided over whether Gaddafi was a legitimate military target under the U.N. Security Council resolution. U.S. Secretary of Defense Robert Gates said that NATO was ""not targeting Gaddafi specifically"" but that his command-and-control facilities were legitimate targets—including a facility inside his sprawling Tripoli compound that was hit with airstrikes on 25 April.",What organization killed Gaddafi's grandsons?
"The term ""pneumata psychikon"" was coined by the Roman physician Galen.",factual,"The Roman physician Galen also argued for the importance of the brain, and theorized in some depth about how it might work. Galen traced out the anatomical relationships among brain, nerves, and muscles, demonstrating that all muscles in the body are connected to the brain through a branching network of nerves. He postulated that nerves activate muscles mechanically by carrying a mysterious substance he called pneumata psychikon, usually translated as ""animal spirits"". Galen's ideas were widely known during the Middle Ages, but not much further progress came until the Renaissance, when detailed anatomical study resumed, combined with the theoretical speculations of René Descartes and those who followed him. Descartes, like Galen, thought of the nervous system in hydraulic terms. He believed that the highest cognitive functions are carried out by a non-physical res cogitans, but that the majority of behaviors of humans, and all behaviors of animals, could be explained mechanistically.",Who coined the term pneumata psychikon?
The Book of Confessions includes the Westminster Standards as one of the confessions it encompasses.,factual,"The Presbyterian Church (U.S.A.) has adopted the Book of Confessions, which reflects the inclusion of other Reformed confessions in addition to the Westminster Standards. These other documents include ancient creedal statements (the Nicene Creed, the Apostles' Creed), 16th-century Reformed confessions (the Scots Confession, the Heidelberg Catechism, the Second Helvetic Confession), and 20th century documents (The Theological Declaration of Barmen, Confession of 1967 and A Brief Statement of Faith).","The Book of Confessions reflects the inclusion of another confession, what is it called?"
Axons bundled together are referred to as nerve fiber tracts.,factual,"Most of the space in the brain is taken up by axons, which are often bundled together in what are called nerve fiber tracts. A myelinated axon is wrapped in a fatty insulating sheath of myelin, which serves to greatly increase the speed of signal propagation. (There are also unmyelinated axons). Myelin is white, making parts of the brain filled exclusively with nerve fibers appear as light-colored white matter, in contrast to the darker-colored grey matter that marks areas with high densities of neuron cell bodies.",Axons grouped together are known as what?
"The three islands that comprise New York City are Long Island, Manhattan, and Staten Island.",factual,"New York City is situated in the Northeastern United States, in southeastern New York State, approximately halfway between Washington, D.C. and Boston. The location at the mouth of the Hudson River, which feeds into a naturally sheltered harbor and then into the Atlantic Ocean, has helped the city grow in significance as a trading port. Most of New York City is built on the three islands of Long Island, Manhattan, and Staten Island.",The three islands that make up New York city are named what?
Combining the outputs of two filter banks creates aliasing issues.,factual,"Due to the tree structure of the filter bank, pre-echo problems are made worse, as the combined impulse response of the two filter banks does not, and cannot, provide an optimum solution in time/frequency resolution. Additionally, the combining of the two filter banks' outputs creates aliasing problems that must be handled partially by the ""aliasing compensation"" stage; however, that creates excess energy to be coded in the frequency domain, thereby decreasing coding efficiency.[citation needed]",Combining two filter banks' outputs creates what kind of problem?
"As of November 2008, Demarcus Sears was the only individual on death row facing capital punishment without being convicted of murder.",factual,"As of November 2008, there is only one person on death row facing capital punishment who has not been convicted of murder. Demarcus Sears remains under a death sentence in Georgia for the crime of ""kidnapping with bodily injury."" Sears was convicted in 1986 for the kidnapping and bodily injury of victim Gloria Ann Wilbur. Wilbur was kidnapped and beaten in Georgia, raped in Tennessee, and murdered in Kentucky. Sears was never charged with the murder of Wilbur in Kentucky, but was sentenced to death by a jury in Georgia for ""kidnapping with bodily injury.""","In November 2008, who was on death penalty without a murder conviction?"
It is estimated that as many as 800 executions may have taken place following the agermanats' revolt.,factual,"The vicereine Germaine of Foix brutally repressed the uprising and its leaders, and this accelerated the authoritarian centralisation of the government of Charles I. Queen Germaine favoured harsh treatment of the agermanats. She is thought to have signed the death warrants of 100 former rebels personally, and sources indicate that as many as 800 executions may have occurred. The agermanats are comparable to the comuneros of neighbouring Castile, who fought a similar revolt against Charles from 1520–1522.",Up to how many executions took place after the agermanats' revolt?
"Between 10,000 and 15,000 people participated in the demonstration on October 1.",factual,"On October 1, 1989, a peaceful demonstration of 10,000 to 15,000 people was violently dispersed by the militia in front of Lviv's Druzhba Stadium, where a concert celebrating the Soviet ""reunification"" of Ukrainian lands was being held. On October 10, Ivano-Frankivsk was the site of a pre-election protest attended by 30,000 people. On October 15, several thousand people gathered in Chervonohrad, Chernivtsi, Rivne, and Zhytomyr; 500 in Dnipropetrovsk; and 30,000 in Lviv to protest the election law. On October 20, faithful and clergy of the Ukrainian Autocephalous Orthodox Church participated in a synod in Lviv, the first since its forced liquidation in the 1930s.",How many people demonstrated on October 1?
"In the affected region, the availability of news and media websites was significantly reduced.",factual,"Immediately after the earthquake event, mobile and terrestrial telecommunications were cut to the affected and surrounding area, with all internet capabilities cut to the Sichuan area too. Elements of telecommunications were restored by the government piece by piece over the next number of months as the situation in the Sichuan province gradually improved. Eventually, a handful of major news and media websites were made accessible online in the region, albeit with dramatically pared back webpages.",What internet services were decreased in the area?
Samuel Pufendorf adopted the metaphor that Cicero used.,factual,"The modern term ""culture"" is based on a term used by the Ancient Roman orator Cicero in his Tusculanae Disputationes, where he wrote of a cultivation of the soul or ""cultura animi"", using an agricultural metaphor for the development of a philosophical soul, understood teleologically as the highest possible ideal for human development. Samuel Pufendorf took over this metaphor in a modern context, meaning something similar, but no longer assuming that philosophy was man's natural perfection. His use, and that of many writers after him ""refers to all the ways in which human beings overcome their original barbarism, and through artifice, become fully human"".",Who took over the metaphor used by Cicero?
The year 476 is typically cited as the starting point for the Middle Ages.,factual,"The most commonly given starting point for the Middle Ages is 476, first used by Bruni.[A] For Europe as a whole, 1500 is often considered to be the end of the Middle Ages, but there is no universally agreed upon end date. Depending on the context, events such as Christopher Columbus's first voyage to the Americas in 1492, the conquest of Constantinople by the Turks in 1453, or the Protestant Reformation in 1517 are sometimes used. English historians often use the Battle of Bosworth Field in 1485 to mark the end of the period. For Spain, dates commonly used are the death of King Ferdinand II in 1516, the death of Queen Isabella I of Castile in 1504, or the conquest of Granada in 1492. Historians from Romance-speaking countries tend to divide the Middle Ages into two parts: an earlier ""High"" and later ""Low"" period. English-speaking historians, following their German counterparts, generally subdivide the Middle Ages into three intervals: ""Early"", ""High"", and ""Late"". In the 19th century, the entire Middle Ages were often referred to as the ""Dark Ages"",[B] but with the adoption of these subdivisions, use of this term was restricted to the Early Middle Ages, at least among historians.",What date is usually given as the beginning of the Middle Ages?
"The main benefit a plant gets from forming fruit is seed dispersal. By producing fruit that attracts animals, the plant is able to spread its seeds more effectively when the animals eat or disturb the fruit, scattering the seeds it contains.",factual,"Animals are also involved in the distribution of seeds. Fruit, which is formed by the enlargement of flower parts, is frequently a seed-dispersal tool that attracts animals to eat or otherwise disturb it, incidentally scattering the seeds it contains (see frugivory). Although many such mutualistic relationships remain too fragile to survive competition and to spread widely, flowering proved to be an unusually effective means of reproduction, spreading (whatever its origin) to become the dominant form of land plant life.",What does a plant get out of forming fruit?
The ars nova musical style replaced the ars antiqua style in the 14th century.,factual,"The main representatives of the new style, often referred to as ars nova as opposed to the ars antiqua, were the composers Philippe de Vitry and Guillaume de Machaut. In Italy, where the Provençal troubadours had also found refuge, the corresponding period goes under the name of trecento, and the leading composers were Giovanni da Cascia, Jacopo da Bologna and Francesco Landini. Prominent reformer of Orthodox Church music from the first half of 14th century was John Kukuzelis; he also introduced a system of notation widely used in the Balkans in the following centuries.",Which musical style did ars nova replace in the 14th century?
The NCAA permits college teams to embark on one overseas tour every four years.,factual,"Traditionally, major college basketball teams began their seasons with a few exhibition games. They played travelling teams made up of former college players on teams such as Athletes in Action or a team sponsored by Marathon Oil. On occasion before 1992, when FIBA allowed professional players on foreign national teams, colleges played those teams in exhibitions. However, in 2003, the National Collegiate Athletic Association banned games with non-college teams. Some teams have begun scheduling exhibition games against teams in NCAA Division II and NCAA Division III, or even against colleges and universities located in Canada. Major college basketball teams still travel to other countries during the summer to play in exhibition games, although a college team is allowed one foreign tour every four years, and a maximum of ten games in each tour.",How often does the NCAA allow college teams to go overseas?
Organisms inherit their genes from their parents.,factual,Organisms inherit their genes from their parents. Asexual organisms simply inherit a complete copy of their parent's genome. Sexual organisms have two copies of each chromosome because they inherit one complete set from each parent.:1,Where do organisms inherit their genes from?
The primary focus of the Marshall Islands' economy is the service sector.,factual,"Politically, the Marshall Islands is a presidential republic in free association with the United States, with the US providing defense, subsidies, and access to U.S. based agencies such as the FCC and the USPS. With few natural resources, the islands' wealth is based on a service economy, as well as some fishing and agriculture; aid from the United States represents a large percentage of the islands' gross domestic product. The country uses the United States dollar as its currency.",What is the main focus of the Marshall Islands' economy?
Literature is distinguished as a written form of art by two key elements: being deemed to have artistic value and being considered to possess intellectual worth.,factual,"Literature consists of written productions, often restricted to those deemed to have artistic or intellectual value. Its Latin root literatura/litteratura (derived itself from littera, letter or handwriting) was used to refer to all written accounts, but intertwined with the roman concept of cultura: learning or cultivation. Literature often uses language differently than ordinary language (see literariness). Literature can be classified according to whether it is fiction or non-fiction and whether it is poetry or prose; it can be further distinguished according to major forms such as the novel, short story or drama; and works are often categorised according to historical periods or their adherence to certain aesthetic features or expectations (genre).",What two key elements that distinguish literature as a written form of art?
The computer language that emerged due to the looping problem is SQL.,factual,"Just as the navigational approach would require programs to loop in order to collect records, the relational approach would require loops to collect information about any one record. Codd's solution to the necessary looping was a set-oriented language, a suggestion that would later spawn the ubiquitous SQL. Using a branch of mathematics known as tuple calculus, he demonstrated that such a system could support all the operations of normal databases (inserting, updating etc.) as well as providing a simple system for finding and returning sets of data in a single operation.",What computer language came about as a result of the looping problem?
The Spanish Empire was responsible for bringing horses to the Americas.,factual,"The Spanish Empire and other Europeans brought horses to the Americas. Some of these animals escaped and began to breed and increase their numbers in the wild. The re-introduction of the horse, extinct in the Americas for over 7500 years, had a profound impact on Native American culture in the Great Plains of North America and of Patagonia in South America. By domesticating horses, some tribes had great success: horses enabled them to expand their territories, exchange more goods with neighboring tribes, and more easily capture game, especially bison.",What Empire brought horses to the Americas?
"Napoleon III and the royal couple visited the Exposition Universelle, a successor to Albert's 1851 Great Exhibition.",factual,"Napoleon III, since the Crimean War Britain's closest ally, visited London in April 1855, and from 17 to 28 August the same year Victoria and Albert returned the visit. Napoleon III met the couple at Dunkirk and accompanied them to Paris. They visited the Exposition Universelle (a successor to Albert's 1851 brainchild the Great Exhibition) and Napoleon I's tomb at Les Invalides (to which his remains had only been returned in 1840), and were guests of honour at a 1,200-guest ball at the Palace of Versailles.",What did Napoleon III and the royal couple visit? 
The argument made for the establishment of the FA Premier League was that the additional income generated from the league's commercial independence would enable English clubs to better compete with teams throughout Europe.,factual,"At the close of the 1991 season, a proposal was tabled for the establishment of a new league that would bring more money into the game overall. The Founder Members Agreement, signed on 17 July 1991 by the game's top-flight clubs, established the basic principles for setting up the FA Premier League. The newly formed top division would have commercial independence from The Football Association and the Football League, giving the FA Premier League licence to negotiate its own broadcast and sponsorship agreements. The argument given at the time was that the extra income would allow English clubs to compete with teams across Europe.",What was the argument made for the splitting off of the FA Premier League which would lead to being able to compete across Europe?
A predator that maintains balance within an ecosystem is called a keystone species.,factual,"Predators may increase the biodiversity of communities by preventing a single species from becoming dominant. Such predators are known as keystone species and may have a profound influence on the balance of organisms in a particular ecosystem. Introduction or removal of this predator, or changes in its population density, can have drastic cascading effects on the equilibrium of many other populations in the ecosystem. For example, grazers of a grassland may prevent a single dominant species from taking over.",What is the title of a predator that maintains balance with an ecosystem?
"The studies show that these differences in sexual arousal patterns between men and women are reflected in their genital responses to sexual stimuli, including those involving both genders and even non-human stimuli.",factual,"These studies suggest that men and women are different in terms of sexual arousal patterns and that this is also reflected in how their genitals react to sexual stimuli of both genders or even to non-human stimuli. Sexual orientation has many dimensions (attractions, behavior, identity), of which sexual arousal is the only product of sexual attractions which can be measured at present with some degree of physical precision. Thus, the fact that women are aroused by seeing non-human primates having sex does not mean that women's sexual orientation includes this type of sexual interest. Some researchers argue that women's sexual orientation depends less on their patterns of sexual arousal than men's and that other components of sexual orientation (like emotional attachment) must be taken into account when describing women's sexual orientations. In contrast, men's sexual orientations tend to be primarily focused on the physical component of attractions and, thus, their sexual feelings are more exclusively oriented according to sex.",How is this reflected in the studies?
Clement Walker is the one who suggests that the mulberry garden may have been a place of debauchery.,factual,"Various owners leased it from royal landlords and the freehold was the subject of frenzied speculation during the 17th century. By then, the old village of Eye Cross had long since fallen into decay, and the area was mostly wasteland. Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk. (This is at the northwest corner of today's palace.) Clement Walker in Anarchia Anglicana (1649) refers to ""new-erected sodoms and spintries at the Mulberry Garden at S. James's""; this suggests it may have been a place of debauchery. Eventually, in the late 17th century, the freehold was inherited from the property tycoon Sir Hugh Audley by the great heiress Mary Davies.",Who suggests that the mulberry garden is likely a place for debauchery?
Bacteria are considered asexual organisms because they inherit identical copies of their parent's genes.,factual,"Bacteria, as asexual organisms, inherit identical copies of their parent's genes (i.e., they are clonal). However, all bacteria can evolve by selection on changes to their genetic material DNA caused by genetic recombination or mutations. Mutations come from errors made during the replication of DNA or from exposure to mutagens. Mutation rates vary widely among different species of bacteria and even among different clones of a single species of bacteria. Genetic changes in bacterial genomes come from either random mutation during replication or ""stress-directed mutation"", where genes involved in a particular growth-limiting process have an increased mutation rate.",What makes bacteria an asexual organism?
"Japan's rise to world power status during the Meiji era was primarily due to its rapid modernization efforts, which were inspired by European models. The country focused on expanding its military production capabilities, reorganizing its government departments, and embracing social changes that empowered the common people.",factual,"Around the end of the 19th century and into the 20th century, the Meiji era was marked by the reign of the Meiji Emperor. During this time, Japan started its modernization and rose to world power status. This era name means ""Enlightened Rule"". In Japan, the Meiji Restoration started in the 1860s, marking the rapid modernization by the Japanese themselves along European lines. Much research has focused on the issues of discontinuity versus continuity with the previous Tokugawa Period. In the 1960s younger Japanese scholars led by Irokawa Daikichi, reacted against the bureaucratic superstate, and began searching for the historic role of the common people . They avoided the elite, and focused not on political events but on social forces and attitudes. They rejected both Marxism and modernization theory as alien and confining. They stressed the importance of popular energies in the development of modern Japan. They enlarged history by using the methods of social history. It was not until the beginning of the Meiji Era that the Japanese government began taking modernization seriously. Japan expanded its military production base by opening arsenals in various locations. The hyobusho (war office) was replaced with a War Department and a Naval Department. The samurai class suffered great disappointment the following years.",How did Japan rise to be a world power during the Meja era?
The Notre Dame students faced off against the Ku Klux Klan in a confrontation in 1924.,factual,"The success of its football team made Notre Dame a household name. The success of Note Dame reflected rising status of Irish Americans and Catholics in the 1920s. Catholics rallied up around the team and listen to the games on the radio, especially when it knocked off the schools that symbolized the Protestant establishment in America — Harvard, Yale, Princeton, and Army. Yet this role as high-profile flagship institution of Catholicism made it an easy target of anti-Catholicism. The most remarkable episode of violence was the clash between Notre Dame students and the Ku Klux Klan in 1924. Nativism and anti-Catholicism, especially when directed towards immigrants, were cornerstones of the KKK's rhetoric, and Notre Dame was seen as a symbol of the threat posed by the Catholic Church. The Klan decided to have a week-long Klavern in South Bend. Clashes with the student body started on March 17, when students, aware of the anti-Catholic animosity, blocked the Klansmen from descending from their trains in the South Bend station and ripped the KKK clothes and regalia. On May 19 thousands of students massed downtown protesting the Klavern, and only the arrival of college president Fr. Matthew Walsh prevented any further clashes. The next day, football coach Knute Rockne spoke at a campus rally and implored the students to obey the college president and refrain from further violence. A few days later the Klavern broke up, but the hostility shown by the students was an omen and a contribution to the downfall of the KKK in Indiana.",Notre Dame students had a showdown in 1924 with which anti-catholic group?
"On July 1st, Gorbachev removed Grigory Romanov from the Politburo.",factual,"On July 1, 1985, Gorbachev promoted Eduard Shevardnadze, First Secretary of the Georgian Communist Party, to full member of the Politburo, and the following day appointed him minister of foreign affairs, replacing longtime Foreign Minister Andrei Gromyko. The latter, disparaged as ""Mr Nyet"" in the West, had served for 28 years as Minister of Foreign Affairs. Gromyko was relegated to the largely ceremonial position of Chairman of the Presidium of the Supreme Soviet (officially Soviet Head of State), as he was considered an ""old thinker."" Also on July 1, Gorbachev took the opportunity to dispose of his main rival by removing Grigory Romanov from the Politburo, and brought Boris Yeltsin and Lev Zaikov into the CPSU Central Committee Secretariat.",Which person did Gorbachev kick out of the Politburo on the first of July?
"For the first time during World War I, hostilities also occurred from the air.",factual,"Much of the fighting in World War I took place along the Western Front, within a system of opposing manned trenches and fortifications (separated by a ""No man's land"") running from the North Sea to the border of Switzerland. On the Eastern Front, the vast eastern plains and limited rail network prevented a trench warfare stalemate from developing, although the scale of the conflict was just as large. Hostilities also occurred on and under the sea and—for the first time—from the air. More than 9 million soldiers died on the various battlefields, and nearly that many more in the participating countries' home fronts on account of food shortages and genocide committed under the cover of various civil wars and internal conflicts. Notably, more people died of the worldwide influenza outbreak at the end of the war and shortly after than died in the hostilities. The unsanitary conditions engendered by the war, severe overcrowding in barracks, wartime propaganda interfering with public health warnings, and migration of so many soldiers around the world helped the outbreak become a pandemic.",Where did hostiles appear for the first time during the war?
"Tuvalu officially joined the Pacific Islands Development Forum on the 18th of February, 2016.",factual,"Tuvalu participates in the work of Secretariat of the Pacific Community, or SPC (sometimes Pacific Community) and is a member of the Pacific Islands Forum, the Commonwealth of Nations and the United Nations. Tuvalu has maintained a mission at the United Nations in New York City since 2000. Tuvalu is a member of the World Bank and the Asian Development Bank. On 18 February 2016 Tuvalu signed the Pacific Islands Development Forum Charter and formally joined the Pacific Islands Development Forum (PIDF).",On what date did Tuvalu join the Pacific Islands Development Forum?
"The potential effects of antibiotics on contraceptive pills have not been definitively proven through testing, as the findings remain inconclusive and controversial.",factual,"The majority of studies indicate antibiotics do interfere with contraceptive pills, such as clinical studies that suggest the failure rate of contraceptive pills caused by antibiotics is very low (about 1%). In cases where antibacterials have been suggested to affect the efficiency of birth control pills, such as for the broad-spectrum antibacterial rifampicin, these cases may be due to an increase in the activities of hepatic liver enzymes' causing increased breakdown of the pill's active ingredients. Effects on the intestinal flora, which might result in reduced absorption of estrogens in the colon, have also been suggested, but such suggestions have been inconclusive and controversial. Clinicians have recommended that extra contraceptive measures be applied during therapies using antibacterials that are suspected to interact with oral contraceptives.",Have these potential effects been proven through testing?
The iconic red double-decker buses are a distinctive feature that identifies many buses as a landmark for London.,factual,"London's bus network is one of the largest in the world, running 24 hours a day, with about 8,500 buses, more than 700 bus routes and around 19,500 bus stops. In 2013, the network had more than 2 billion commuter trips per annum, more than the Underground. Around £850 million is taken in revenue each year. London has the largest wheelchair accessible network in the world and, from the 3rd quarter of 2007, became more accessible to hearing and visually impaired passengers as audio-visual announcements were introduced. The distinctive red double-decker buses are an internationally recognised trademark of London transport along with black cabs and the Tube.",What distinct appearance identifies many buses as a landmark for London?
"The Intelligence Reform and Terrorism Prevention Act was passed in response to the 9/11 attacks, relating to the FBI.",factual,"The FBI director is responsible for the day-to-day operations at the FBI. Along with his deputies, the director makes sure cases and operations are handled correctly. The director also is in charge of making sure the leadership in any one of the FBI field offices is manned with qualified agents. Before the Intelligence Reform and Terrorism Prevention Act was passed in the wake of the September 11 attacks, the FBI director would directly brief the President of the United States on any issues that arise from within the FBI. Since then, the director now reports to the Director of National Intelligence (DNI), who in turn reports to the President.",What acts were passed relating to the FBI after 9/11?
The influx of Chinese department stores began with the opening policy in 1979.,factual,"Since the opening policy in 1979, the Chinese department stores also develops swiftly along with the fast-growing economy. There are different department store groups dominating different regions. For example, INTIME department store has the biggest market presence in Zhejiang province, while Jinying department stores dominate Jiangsu Province. Besides, there are many other department store groups, such as Pacific, Parkson, Wangfujing，New World，etc., many of them are expanding quickly by listing in the financial market.",What began the influx of Chinese department stores?
"To close relatives and friends, Bell was known as ""Aleck"".",factual,"Alexander Bell was born in Edinburgh, Scotland, on March 3, 1847. The family home was at 16 South Charlotte Street, and has a stone inscription marking it as Alexander Graham Bell's birthplace. He had two brothers: Melville James Bell (1845–70) and Edward Charles Bell (1848–67), both of whom would die of tuberculosis. His father was Professor Alexander Melville Bell, a phonetician, and his mother was Eliza Grace (née Symonds). Born as just ""Alexander Bell"", at age 10 he made a plea to his father to have a middle name like his two brothers.[N 6] For his 11th birthday, his father acquiesced and allowed him to adopt the name ""Graham"", chosen out of respect for Alexander Graham, a Canadian being treated by his father who had become a family friend. To close relatives and friends he remained ""Aleck"".",What did those close to him call Bell?
Rogers and Maslow introduced humanistic psychology in response to the overly pessimistic view of psychoanalysis.,factual,"Humanistic psychology is a psychological perspective which rose to prominence in the mid-20th century in response to Sigmund Freud's psychoanalytic theory and B. F. Skinner's Behaviorism. The approach emphasizes an individual's inherent drive towards self-actualization and creativity. Psychologists Carl Rogers and Abraham Maslow introduced a positive, humanistic psychology in response to what they viewed as the overly pessimistic view of psychoanalysis in the early 1960s. Other sources include the philosophies of existentialism and phenomenology.",They introduced it in response to what?
Cnut was of Danish nationality.,factual,"Another source of loanwords was Old Norse, which came into contact with Old English via the Scandinavian rulers and settlers in the Danelaw from the late 9th century, and during the rule of Cnut and other Danish kings in the early 11th century. Many place-names in eastern and northern England are of Scandinavian origin. Norse borrowings are relatively rare in Old English literature, being mostly terms relating to government and administration. The literary standard, however, was based on the West Saxon dialect, away from the main area of Scandinavian influence; the impact of Norse may have been greater in the eastern and northern dialects. Certainly in Middle English texts, which are more often based on eastern dialects, a strong Norse influence becomes apparent. Modern English contains a great many, often everyday, words that were borrowed from Old Norse, and the grammatical simplification that occurred after the Old English period is also often attributed to Norse influence.",What was Cnut's nationality?
"During the colonial period, white women and African men were able to form unions.",factual,"In the colonial years, while conditions were more fluid, white women, indentured servant or free, and African men, servant, slave or free, made unions. Because the women were free, their mixed-race children were born free; they and their descendants formed most of the families of free people of color during the colonial period in Virginia. The scholar Paul Heinegg found that eighty percent of the free people of color in North Carolina in censuses from 1790–1810 could be traced to families free in Virginia in colonial years.",When could white women and black men be in a union?
The courts ruled that the temporary web cache created by consumers' web browsers when using the news aggregator's service did not constitute copyright infringement.,factual,"In Europe, the copyright infringement case Public Relations Consultants Association Ltd v Newspaper Licensing Agency Ltd had two prongs; one concerned whether a news aggregator service infringed the copyright of the news generators; the other concerned whether the temporary web cache created by the web browser of a consumer of the aggregator's service, also infringed the copyright of the news generators. The first prong was decided in favor of the news generators; in June 2014 the second prong was decided by the Court of Justice of the European Union (CJEU), which ruled that the temporary web cache of consumers of the aggregator did not infringe the copyright of the news generators.",What did the courts rule was NOT infringement?
"Heian served as Japan's capital for a total of 1,000 years.",factual,"When Emperor Kammu moved the capital to Heian-kyō (Kyōto), which remained the imperial capital for the next 1,000 years, he did so not only to strengthen imperial authority but also to improve his seat of government geopolitically. Nara was abandoned after only 70 years in part due to the ascendancy of Dōkyō and the encroaching secular power of the Buddhist institutions there. Kyōto had good river access to the sea and could be reached by land routes from the eastern provinces. The early Heian period (784–967) continued Nara culture; the Heian capital was patterned on the Chinese Tang capital at Chang'an, as was Nara, but on a larger scale than Nara. Kammu endeavoured to improve the Tang-style administrative system which was in use. Known as the ritsuryō, this system attempted to recreate the Tang imperium in Japan, despite the ""tremendous differences in the levels of development between the two countries"". Despite the decline of the Taika-Taihō reforms, imperial government was vigorous during the early Heian period. Indeed, Kammu's avoidance of drastic reform decreased the intensity of political struggles, and he became recognized as one of Japan's most forceful emperors.",Heian was Japan's capital for how many years?
"After the Congress of Vienna, Austria and Prussia emerged as two rival powers in Central Europe.",factual,"The Napoleonic Wars were the cause of the final dissolution of the Holy Roman Empire, and ultimately the cause for the quest for a German nation state in 19th-century German nationalism. After the Congress of Vienna, Austria and Prussia emerged as two competitors. Austria, trying to remain the dominant power in Central Europe, led the way in the terms of the Congress of Vienna. The Congress of Vienna was essentially conservative, assuring that little would change in Europe and preventing Germany from uniting. These terms came to a sudden halt following the Revolutions of 1848 and the Crimean War in 1856, paving the way for German unification in the 1860s. By the 1820s, large numbers of Jewish German women had intermarried with Christian German men and had converted to Christianity. Jewish German Eduard Lasker was a prominent German nationalist figure who promoted the unification of Germany in the mid-19th century.",What two countries emerged as competitors after the Congress of Vienna?
