answer,type,context,question,qwen
The blank boards used to make PCBs were coated with copper.,factual,"Initially PCBs were designed manually by creating a photomask on a clear mylar sheet, usually at two or four times the true size. Starting from the schematic diagram the component pin pads were laid out on the mylar and then traces were routed to connect the pads. Rub-on dry transfers of common component footprints increased efficiency. Traces were made with self-adhesive tape. Pre-printed non-reproducing grids on the mylar assisted in layout. To fabricate the board, the finished photomask was photolithographically reproduced onto a photoresist coating on the blank copper-clad boards.",What kind of metal coated the blank boards used to make PCBs?,The metal coated on the blank boards used to make PCBs was copper.
"The museum that reopened on July 30th, 2011 after undergoing extensive restoration and improvement is the Tudor House Museum.",factual,"The city is home to the longest surviving stretch of medieval walls in England, as well as a number of museums such as Tudor House Museum, reopened on 30 July 2011 after undergoing extensive restoration and improvement; Southampton Maritime Museum; God's House Tower, an archaeology museum about the city's heritage and located in one of the tower walls; the Medieval Merchant's House; and Solent Sky, which focuses on aviation. The SeaCity Museum is located in the west wing of the civic centre, formerly occupied by Hampshire Constabulary and the Magistrates' Court, and focuses on Southampton's trading history and on the RMS Titanic. The museum received half a million pounds from the National Lottery in addition to interest from numerous private investors and is budgeted at £28 million.","What museum reopened on July 30th, 2011 after a huge renovation?","The museum that reopened on July 30th, 2011, after a huge renovation is the **Tudor House Museum**."
Passive air defence includes not only camouflage but also concealment.,factual,"Passive air defence is defined by NATO as ""Passive measures taken for the physical defence and protection of personnel, essential installations and equipment in order to minimize the effectiveness of air and/or missile attack"". It remains a vital activity by ground forces and includes camouflage and concealment to avoid detection by reconnaissance and attacking aircraft. Measures such as camouflaging important buildings were common in the Second World War. During the Cold War the runways and taxiways of some airfields were painted green.",Passive air defence includes camouflage and what?,The answer is **concealment**. The context states that passive air defense includes camouflage and concealment to avoid detection by reconnaissance and attacking aircraft.
"The priests at the Pashupatinath temple originate from South India, specifically from Karnataka.",factual,"Believers in Pashupatinath (mainly Hindus) are allowed to enter the temple premises, but non-Hindu visitors are allowed to view the temple only from the across the Bagmati River. The priests who perform the services at this temple have been Brahmins from Karnataka, South India since the time of Malla king Yaksha Malla. This tradition is believed to have been started at the request of Adi Shankaracharya who sought to unify the states of Bharatam (Unified India) by encouraging cultural exchange. This procedure is followed in other temples around India, which were sanctified by Adi Shankaracharya.",In what part of India do the Pashupatinath priests originate?,"The Pashupatinath priests originate from Karnataka, South India."
"Allen Daviau, a childhood friend of Spielberg, worked on his films as the cinematographer.",factual,"Spielberg prefers working with production members with whom he has developed an existing working relationship. An example of this is his production relationship with Kathleen Kennedy who has served as producer on all his major films from E.T. the Extra-Terrestrial to the recent Lincoln. For cinematography, Allen Daviau, a childhood friend and cinematographer, shot the early Spielberg film Amblin and most of his films up to Empire of the Sun; Janusz Kamiński who has shot every Spielberg film since Schindler's List (see List of film director and cinematographer collaborations); and the film editor Michael Kahn who has edited every film directed by Spielberg from Close Encounters to Munich (except E.T. the Extra-Terrestrial). Most of the DVDs of Spielberg's films have documentaries by Laurent Bouzereau.",Which childhood friend worked on Spielberg's films?,The childhood friend who worked on Spielberg's films is **Allen Daviau**.
Animals typically use the color green for camouflage purposes.,factual,"Animals typically use the color green as camouflage, blending in with the chlorophyll green of the surrounding environment. Green animals include, especially, amphibians, reptiles, and some fish, birds and insects. Most fish, reptiles, amphibians, and birds appear green because of a reflection of blue light coming through an over-layer of yellow pigment. Perception of color can also be affected by the surrounding environment. For example, broadleaf forests typically have a yellow-green light about them as the trees filter the light. Turacoverdin is one chemical which can cause a green hue in birds, especially. Invertebrates such as insects or mollusks often display green colors because of porphyrin pigments, sometimes caused by diet. This can causes their feces to look green as well. Other chemicals which generally contribute to greenness among organisms are flavins (lychochromes) and hemanovadin. Humans have imitated this by wearing green clothing as a camouflage in military and other fields. Substances that may impart a greenish hue to one's skin include biliverdin, the green pigment in bile, and ceruloplasmin, a protein that carries copper ions in chelation.",How do animals typically use the color green?,"Animals typically use the color green for camouflage, blending with chlorophyll in the environment. This includes groups like amphibians, reptiles, fish, birds, and insects, which use over-layered yellow pigments or porphyrin pigments (like in invertebrates) to reflect blue light. Chemicals such as flavins, hemanovadin, and Turacoverdin affect certain species, while humans mimic this by wearing green clothing. Green is also a result of natural pigments and chemical processes in the environment."
Many of the disaffected barons came from the north of England.,factual,"Tensions between John and the barons had been growing for several years, as demonstrated by the 1212 plot against the king. Many of the disaffected barons came from the north of England; that faction was often labelled by contemporaries and historians as ""the Northerners"". The northern barons rarely had any personal stake in the conflict in France, and many of them owed large sums of money to John; the revolt has been characterised as ""a rebellion of the king's debtors"". Many of John's military household joined the rebels, particularly amongst those that John had appointed to administrative roles across England; their local links and loyalties outweighed their personal loyalty to John. Tension also grew across North Wales, where opposition to the 1211 treaty between John and Llywelyn was turning into open conflict. For some the appointment of Peter des Roches as justiciar was an important factor, as he was considered an ""abrasive foreigner"" by many of the barons. The failure of John's French military campaign in 1214 was probably the final straw that precipitated the baronial uprising during John's final years as king; James Holt describes the path to civil war as ""direct, short and unavoidable"" following the defeat at Bouvines.",Where did many of the disaffected barons come from?,The disaffected barons came from the north of England.
The London School of Economics is widely regarded as the world's top institution for teaching and research in the field of social science.,factual,"A number of world-leading education institutions are based in London. In the 2014/15 QS World University Rankings, Imperial College London is ranked joint 2nd in the world (alongside The University of Cambridge), University College London (UCL) is ranked 5th, and King's College London (KCL) is ranked 16th. The London School of Economics has been described as the world's leading social science institution for both teaching and research. The London Business School is considered one of the world's leading business schools and in 2015 its MBA programme was ranked second best in the world by the Financial Times.","In terms of teaching and research, what is the world's foremost institute of social science?",The world's foremost institute of social science is the London School of Economics.
Like a Virgin,contradiction,"Madonna released the song ""Hey You"" for the Live Earth series of concerts. The song was available as a free download during its first week of release. She also performed it at the London Live Earth concert. Madonna announced her departure from Warner Bros. Records, and a new $120 million, ten-year 360 deal with Live Nation. She produced and wrote I Am Because We Are, a documentary on the problems faced by Malawians. The documentary was directed by Nathan Rissman, who worked as Madonna's gardener. She also directed her first film Filth and Wisdom. The plot of the film revolved around three friends and their aspirations. The Times said she had ""done herself proud"" while The Daily Telegraph described the film as ""not an entirely unpromising first effort [but] Madonna would do well to hang on to her day job."" In December 2007, the Rock and Roll Hall of Fame announced Madonna as one of the five inductees of 2008. At the induction ceremony on March 10, 2008, Madonna did not sing but asked fellow Hall of Fame inductees and Michigan natives The Stooges to perform her songs ""Burning Up"" and ""Ray of Light"". She thanked Christopher Flynn, her dance teacher from 35 years earlier, for his encouragement to follow her dreams.",What song did Madonna release for the Live Earth series of concerts?,"The song ""Hey You"" was released for the Live Earth series of concerts."
"In Chopin's music, when strict timing is disregarded for expressive effect, this technique is called rubato.",irrelevant,"Whether there are measurable changes in the sea level relative to the islands of Tuvalu is a contentious issue. There were problems associated with the pre-1993 sea level records from Funafuti which resulted in improvements in the recording technology to provide more reliable data for analysis. The degree of uncertainty as to estimates of sea level change relative to the islands of Tuvalu was reflected in the conclusions made in 2002 from the available data. The 2011 report of the Pacific Climate Change Science Program published by the Australian Government, concludes: ""The sea-level rise near Tuvalu measured by satellite altimeters since 1993 is about 5 mm (0.2 in) per year.""",What was the amount of sea level change on Tuvalu estimated by the 2011 report?,The amount of sea level change on Tuvalu estimated by the 2011 report is approximately 5 mm (0.2 inches) per year.
"Wove paper does not exhibit laidlines, which are the small, closely spaced lines found on handmade paper that result from the metal wires or bamboo used in the papermaking mold.",factual,,What type of lines does wove paper not exhibit?,"Woven paper does not exhibit lines made by threads. Instead, it exhibits lines formed by weaving the threads together."
Hospices were established at the summits of numerous key mountain passes.,factual,"The Alps have been crossed for war and commerce, and by pilgrims, students and tourists. Crossing routes by road, train or foot are known as passes, and usually consist of depressions in the mountains in which a valley leads from the plains and hilly pre-mountainous zones. In the medieval period hospices were established by religious orders at the summits of many of the main passes. The most important passes are the Col de l'Iseran (the highest), the Brenner Pass, the Mont-Cenis, the Great St. Bernard Pass, the Col de Tende, the Gotthard Pass, the Semmering Pass, and the Stelvio Pass.",Where were hospices established? ,"Hospices were established at the summits of the mentioned passes in the Alps, such as the Col de l'Iseran, Brenner Pass, Mont-Cenis, Great St. Bernard Pass, Col de Tende, Gotthard Pass, Semmering Pass, and the Stelvio Pass."
Hops were first credited to a Carolingian Abbot in 822 for being added to beer.,factual,"Beer was spread through Europe by Germanic and Celtic tribes as far back as 3000 BC, and it was mainly brewed on a domestic scale. The product that the early Europeans drank might not be recognised as beer by most people today. Alongside the basic starch source, the early European beers might contain fruits, honey, numerous types of plants, spices and other substances such as narcotic herbs. What they did not contain was hops, as that was a later addition, first mentioned in Europe around 822 by a Carolingian Abbot and again in 1067 by Abbess Hildegard of Bingen.",What was a Carolingian Abbot credited for adding to beer in 822?,A Carolingian Abbot credited for adding hops to beer in 822.
"Jennifer Lopez, who was a judge during that season, stated that David Archuleta's performance of ""Imagine"" was a beautiful song-moment she will never forget.",factual,"David Archuleta's performance of John Lennon's ""Imagine"" was considered by many as one of the best of the season. Jennifer Lopez, who was brought in as a judge in season ten, called it a beautiful song-moment that she will never forget. Jason Castro's semi-final performance of ""Hallelujah"" also received considerable attention, and it propelled Jeff Buckley's version of the song to the top of the Billboard digital song chart. This was the first season in which contestants' recordings were released onto iTunes after their performances, and although sales information was not released so as not to prejudice the contest, leaked information indicated that contestants' songs frequently reached the top of iTunes sales charts.",Who said it Archuletta's rendition is one that she will never forget?,Jennifer Lopez.
"Royal assent is sometimes associated with simple, informal procedures.",contradiction,"Royal assent is sometimes associated with elaborate ceremonies. In the United Kingdom, for instance, the sovereign may appear personally in the House of Lords or may appoint Lords Commissioners, who announce that royal assent has been granted at a ceremony held at the Palace of Westminster. However, royal assent is usually granted less ceremonially by letters patent. In other nations, such as Australia, the governor-general merely signs the bill. In Canada, the governor general may give assent either in person at a ceremony held in the Senate or by a written declaration notifying parliament of his or her agreement to the bill.",With what is royal assent sometimes associated with?,"The context states that royal assent is sometimes associated with elaborate ceremonies. For instance, in the United Kingdom, the sovereign may appear in the House of Lords or appoint Lords Commissioners, who then have a ceremony at the Palace of Westminster. While in other nations like Australia and Canada, the process is more direct—such as signing a bill by the governor general or giving assent in person or by a written declaration. 

**Answer:** The elaborate ceremonies."
San Diego's border crossing is located in the San Ysidro neighborhood at the San Ysidro Port of Entry.,factual,"The city shares a 15-mile (24 km) border with Mexico that includes two border crossings. San Diego hosts the busiest international border crossing in the world, in the San Ysidro neighborhood at the San Ysidro Port of Entry. A second, primarily commercial border crossing operates in the Otay Mesa area; it is the largest commercial crossing on the California-Baja California border and handles the third-highest volume of trucks and dollar value of trade among all United States-Mexico land crossings.",Where is San Diego's border crossing?,"San Diego's border crossings are located at the San Ysidro Port of Entry and the Otay Mesa area. The San Ysidro border crossing is the busiest international port, while Otay Mesa serves as the second and largest commercial crossing on the California-Baja California border."
A demonstration is another term for a private event.,contradiction,"An exhibition game (also known as a friendly, a scrimmage, a demonstration, a preseason game, a warmup match, or a preparation match, depending at least in part on the sport) is a sporting event whose prize money and impact on the player's or the team's rankings is either zero or otherwise greatly reduced. In team sports, matches of this type are often used to help coaches and managers select players for the competitive matches of a league season or tournament. If the players usually play in different teams in other leagues, exhibition games offer an opportunity for the players to learn to work with each other. The games can be held between separate teams or between parts of the same team.",What is 'a demonstration' another term for?,"""A demonstration"" can also refer to a friendly game, scrimmage, preseason game, warmup match, or preparation match."
"In Tucson, Third Street is the street that is dedicated to bicycles.",factual,"Central Tucson is bicycle-friendly. To the east of the University of Arizona, Third Street is bike-only except for local traffic and passes by the historic homes of the Sam Hughes neighborhood. To the west, E. University Boulevard leads to the Fourth Avenue Shopping District. To the North, N. Mountain Avenue has a full bike-only lane for half of the 3.5 miles (5.6 km) to the Rillito River Park bike and walk multi-use path. To the south, N. Highland Avenue leads to the Barraza-Aviation Parkway bicycle path.",Which Tucson street is devoted to bicycles?,The street devoted to bicycles in Tucson is **Third Street**.
"Haydn, a composer typically associated with the Classical era, continued the use of counterpoint and fugue, which is considered characteristic of the Baroque era.",factual,"The dates are generalizations, since the periods and eras overlap and the categories are somewhat arbitrary, to the point that some authorities reverse terminologies and refer to a common practice ""era"" comprising baroque, classical, and romantic ""periods"". For example, the use of counterpoint and fugue, which is considered characteristic of the Baroque era (or period), was continued by Haydn, who is classified as typical of the Classical era. Beethoven, who is often described as a founder of the Romantic era, and Brahms, who is classified as Romantic, also used counterpoint and fugue, but other characteristics of their music define their era.",What composer continued the counterpoint and fugue?,"The composers who continued the counterpoint and fugue are Haydn, Beethoven, and Brahms. While their periods are Romantic, they all used counterpoint and fugue, which are considered characteristic of their respective eras."
1868,contradiction,"In the 1874 general election, Disraeli was returned to power. He passed the Public Worship Regulation Act 1874, which removed Catholic rituals from the Anglican liturgy and which Victoria strongly supported. She preferred short, simple services, and personally considered herself more aligned with the presbyterian Church of Scotland than the episcopal Church of England. He also pushed the Royal Titles Act 1876 through Parliament, so that Victoria took the title ""Empress of India"" from 1 May 1876. The new title was proclaimed at the Delhi Durbar of 1 January 1877.",When was Disraeli returned to office?,Disraeli was returned to office in the 1874 general election.
A student proposed a landing spot online for the rescue helicopters near the epicenter in Wenchuan.,factual,"The Internet was extensively used for passing information to aid rescue and recovery efforts. For example, the official news agency Xinhua set up an online rescue request center in order to find the blind spots of disaster recovery. After knowing that rescue helicopters had trouble landing into the epicenter area in Wenchuan, a student proposed a landing spot online and it was chosen as the first touchdown place for the helicopters[not in citation given]. Volunteers also set up several websites to help store contact information for victims and evacuees. On May 31, a rescue helicopter carrying earthquake survivors and crew members crashed in fog and turbulence in Wenchuan county. No-one survived.",What person suggested a landing spot for helicopters near the epicenter?,The student suggested a landing spot for the rescue helicopters near the epicenter in Wenchuan.
France,contradiction,"As the Laws were formulated in England, and were initially administered solely by the four British football associations within IFAB, the standard dimensions of a football pitch were originally expressed in imperial units. The Laws now express dimensions with approximate metric equivalents (followed by traditional units in brackets), though use of imperial units remains popular in English-speaking countries with a relatively recent history of metrication (or only partial metrication), such as Britain.",Laws were formulated in what country?,The laws were formulated in **England**.
Tito was sent to Vienna in 1934 by the Zagreb Provincial Committee.,factual,"In 1934 the Zagreb Provincial Committee sent Tito to Vienna where all the Central Committee of the Communist Party of Yugoslavia had sought refuge. He was appointed to the Committee and started to appoint allies to him, among them Edvard Kardelj, Milovan Đilas, Aleksandar Ranković and Boris Kidrič. In 1935, Tito travelled to the Soviet Union, working for a year in the Balkans section of Comintern. He was a member of the Soviet Communist Party and the Soviet secret police (NKVD). Tito was also involved in recruiting for the Dimitrov Battalion, a group of volunteers serving in the Spanish Civil War. In 1936, the Comintern sent ""Comrade Walter"" (i.e. Tito) back to Yugoslavia to purge the Communist Party there. In 1937, Stalin had the Secretary-General of the CPY, Milan Gorkić, murdered in Moscow. Subsequently Tito was appointed Secretary-General of the still-outlawed CPY.",When was Tito sent to Vienna?,Tito was sent to Vienna in **1934**.
41 percent of the homeless population in the Paris agglomeration are women.,factual,"In 2012 the Paris agglomeration (urban area) counted 28,800 people without a fixed residence, an increase of 84 percent since 2001; it represents 43 percent of the homeless in all of France. Forty-one percent were women, and 29 percent were accompanied by children. Fifty-six percent of the homeless were born outside France, the largest number coming from Africa and Eastern Europe. The city of Paris has sixty homeless shelters, called Centres d'hébergement et de réinsertion sociale or CHRS, which are funded by the city and operated by private charities and associations.",What percentage of homeless people are women?,"The context states that 41% of the homeless in all of France are women. Therefore, the answer is **41%**."
The U.S. state that benefited from this road was New Mexico.,factual,"Santa Bárbara became the launching place for expeditions into New Mexico by Spanish conquistadors like: Antonio de Espejo, Gaspar Castaño, Antonio Gutiérrez de Umaña, Francisco Leyba de Bonilla, and Vicente de Zaldívar. Several expeditions were led to find a shorter route from Santa Barbara to New Mexico. In April 1598, Juan de Oñate finally found a short route from Santa Barbara to New Mexico which came to be called El Paso del Norte (The Northern Pass). The discovery of El Paso Del Norte was important for the expansion of El Camino Real de Tierra Adentro (The Inner Land Royal Road) to link Spanish settlements in New Mexico to Mexico City; El Camino Real de Tierra Adentro facilitated transport of settlers and supplies to New Mexico.",Which U.S. state benefited from this road?,New Mexico.
Arabic was the language used for religious purposes in the Ottoman Empire.,factual,"Ottoman Turkish was the official language of the Empire. It was an Oghuz Turkic language highly influenced by Persian and Arabic. The Ottomans had several influential languages: Turkish, spoken by the majority of the people in Anatolia and by the majority of Muslims of the Balkans except in Albania and Bosnia; Persian, only spoken by the educated; Arabic, spoken mainly in Arabia, North Africa, Iraq, Kuwait, the Levant and parts of the Horn of Africa; and Somali throughout the Horn of Africa. In the last two centuries, usage of these became limited, though, and specific: Persian served mainly as a literary language for the educated, while Arabic was used for religious rites.",What language was used for religious uses in the Empire?,The language used for religious uses in the Empire was **Arabic**.
Tel Aviv serves as Israel's financial and technology hub.,irrelevant,"Glaciers pick up rocks and sediment with them as they flow. This causes erosion and the formation of valleys over time. The Inn valley is an example of a valley carved by glaciers during the ice ages with a typical terraced structure caused by erosion. Eroded rocks from the most recent ice age lie at the bottom of the valley while the top of the valley consists of erosion from earlier ice ages. Glacial valleys have characteristically steep walls (reliefs); valleys with lower reliefs and talus slopes are remnants of glacial troughs or previously infilled valleys. Moraines, piles of rock picked up during the movement of the glacier, accumulate at edges, center and the terminus of glaciers.",What is an example of a valley carved by glaciers during the ice ages? ,"The Inn valley is an example of a valley carved by glaciers during the ice ages, featuring a typical terraced structure formed by erosion. The valley's bottom consists of eroded rocks from the most recent ice age, while its top includes erosion from earlier ice ages. Glacial valleys are characterized by steep walls and characteristically steep reliefs, with lower reliefs and talus slopes resembling remnants of glacial troughs or previously infilled valleys."
The presence of Anglo-Saxon missionaries from Great Britain and the United States during the 1800s caused royal Hawaiian women to view their own indigenous looks as less attractive.,factual,"During the 1800s Christian missionaries from Great Britain and the United States followed traders to the Hawaiian islands. Long-termly, the Anglo-Saxon presence negatively impacted the level of regard Hawaiian royal women held for their own indigenous looks. For centuries prior the arrival of Christians, first nation Hawaiian aesthetics, such as dark skin and ample bodies, had been considered signs of nobility. No matter how much they adapted their mannerisms to Western standard, some of the Anglo-Saxon missionaries were relentless in referring to the indigenous women as ""Hawaiian squaws."" By the last half of the 19th century, some Hawaiian women began marrying European men who found them exotic. The men, however, selected Hawaiian women who were thinner and paler in complexion.",What cause royal Hawaiian females to find themselves ugly?,"The negative impact of Anglo-Saxon missionaries on Hawaiian royal women's indigenous looks, including their labeling as ""Hawaiian squaws"" and subsequent marriages to thinner, paler women, contributed to their perception of ugliness."
"According to the Dipavamsa, the losing party in the Second Council dispute broke away in protest and formed the Mahasanghika sect.",factual,"The root schism was between the Sthaviras and the Mahāsāṅghikas. The fortunate survival of accounts from both sides of the dispute reveals disparate traditions. The Sthavira group offers two quite distinct reasons for the schism. The Dipavamsa of the Theravāda says that the losing party in the Second Council dispute broke away in protest and formed the Mahasanghika. This contradicts the Mahasanghikas' own vinaya, which shows them as on the same, winning side. The Mahāsāṅghikas argued that the Sthaviras were trying to expand the vinaya and may also have challenged what they perceived were excessive claims or inhumanly high criteria for arhatship. Both parties, therefore, appealed to tradition.",The Dipavamsa says that the losing party broke away in protest and formed what?,The Dipavamsa states that the losing party in the Second Council dispute broke away and formed the Mahasanghika.
One of the animal byproducts imported to Plymouth during the 19th century was guano.,factual,"Some of the greatest imports to Plymouth from the Americas and Europe during the latter half of the 19th century included maize, wheat, barley, sugar cane, guano, sodium nitrate and phosphate Aside from the dockyard in the town of Devonport, industries in Plymouth such as the gasworks, the railways and tramways and a number of small chemical works had begun to develop in the 19th century, continuing into the 20th century.",What animal byproduct was imported to Plymouth in the 19th century?,The animal byproduct imported to Plymouth in the 19th century was **guano**.
Adolf Hitler was the leader of the Nazi Party.,factual,"The Nazis, led by Adolf Hitler, attempted to unite all the people they claimed were ""Germans"" (Volksdeutsche) into one realm, including ethnic Germans in eastern Europe, many of whom had emigrated more than one hundred fifty years before and developed separate cultures in their new lands. This idea was initially welcomed by many ethnic Germans in Sudetenland, Austria, Poland, Danzig and western Lithuania, particularly the Germans from Klaipeda (Memel). The Swiss resisted the idea. They had viewed themselves as a distinctly separate nation since the Peace of Westphalia of 1648.",Who headed the Nazis?,Adolf Hitler.
The primary daily editorial newspaper serving New Haven is called the New Haven Register.,factual,"New Haven is served by the daily New Haven Register, the weekly ""alternative"" New Haven Advocate (which is run by Tribune, the corporation owning the Hartford Courant), the online daily New Haven Independent, and the monthly Grand News Community Newspaper. Downtown New Haven is covered by an in-depth civic news forum, Design New Haven. The Register also backs PLAY magazine, a weekly entertainment publication. The city is also served by several student-run papers, including the Yale Daily News, the weekly Yale Herald and a humor tabloid, Rumpus Magazine. WTNH Channel 8, the ABC affiliate for Connecticut, WCTX Channel 59, the MyNetworkTV affiliate for the state, and Connecticut Public Television station WEDY channel 65, a PBS affiliate, broadcast from New Haven. All New York City news and sports team stations broadcast to New Haven County.",What is the name of the major daily editorial newspaper for the city of New Haven?,The major daily editorial newspaper for New Haven is the **New Haven Register**.
"The announcement that CBC had lost its exclusive rights to curling broadcasting in Canada was made on June 15, 2006.",factual,"It was also the exclusive carrier of Canadian Curling Association events during the 2004–2005 season. Due to disappointing results and fan outrage over many draws being carried on CBC Country Canada (now called Cottage Life Television, the association tried to cancel its multiyear deal with the CBC signed in 2004. After the CBC threatened legal action, both sides eventually came to an agreement under which early-round rights reverted to TSN. On June 15, 2006, the CCA announced that TSN would obtain exclusive rights to curling broadcasts in Canada as of the 2008-09 season, shutting the CBC out of the championship weekend for the first time in 40-plus years.",On what day was it announced CBC had lost exclusve rights to curling broadcasting?,"On June 15, 2006, the Canadian Curling Association (CCA) announced that TSN would obtain exclusive rights to curling broadcasts in Canada as of the 2008-09 season, effectively ending CBC's exclusive rights for the championship weekend."
Medical staff can influence the anti-doping controls in sports.,factual,"Corruption can also affect the various components of sports activities (referees, players, medical and laboratory staff involved in anti-doping controls, members of national sport federation and international committees deciding about the allocation of contracts and competition places).",Medical staff can affect what aspect of sports?,Medical staff can affect the aspect of anti-doping controls.
drama,contradiction,"Bronx native Nancy Savoca's 1989 comedy, True Love, explores two Italian-American Bronx sweethearts in the days before their wedding. The film, which debuted Annabella Sciorra and Ron Eldard as the betrothed couple, won the Grand Jury Prize at that year's Sundance Film Festival. The CBS television sitcom Becker, 1998–2004, was more ambiguous. The show starred Ted Danson as Dr. John Becker, a doctor who operated a small practice and was constantly annoyed by his patients, co-workers, friends, and practically everything and everybody else in his world. It showed his everyday life as a doctor working in a small clinic in the Bronx.",What genre was 'True Love'?,The genre of 'True Love' is comedy.
"Training for classical music is often required up to the postgraduate level, such as completing a Master's degree in music.",factual,"Performers who have studied classical music extensively are said to be ""classically trained"". This training may be from private lessons from instrument or voice teachers or from completion of a formal program offered by a Conservatory, college or university, such as a B.mus. or M.mus. degree (which includes individual lessons from professors). In classical music, ""...extensive formal music education and training, often to postgraduate [Master's degree] level"" is required.",To what level is training for classical music often required?,"The level of training required for classical music is often extensive, involving formal education at postgraduate levels, such as a Master's degree (e.g., B.Mus. or M.Mus.), which includes private lessons from professors."
one tower,contradiction,"Externally, towers and spires are characteristic of Gothic churches both great and small, the number and positioning being one of the greatest variables in Gothic architecture. In Italy, the tower, if present, is almost always detached from the building, as at Florence Cathedral, and is often from an earlier structure. In France and Spain, two towers on the front is the norm. In England, Germany and Scandinavia this is often the arrangement, but an English cathedral may also be surmounted by an enormous tower at the crossing. Smaller churches usually have just one tower, but this may also be the case at larger buildings, such as Salisbury Cathedral or Ulm Minster, which has the tallest spire in the world, slightly exceeding that of Lincoln Cathedral, the tallest which was actually completed during the medieval period, at 160 metres (520 ft).",How many towers are typical on the front of Gothic churches in France and Spain?,The typical number of towers on the front of Gothic churches in France and Spain is two.
The percentage of African Americans in the city is 43.4%.,factual,"In comparison, the 2010 Census Redistricting Data indicated that the racial makeup of the city was 661,839 (43.4%) African American, 626,221 (41.0%) White, 6,996 (0.5%) Native American, 96,405 (6.3%) Asian (2.0% Chinese, 1.2% Indian, 0.9% Vietnamese, 0.6% Cambodian, 0.4% Korean, 0.3% Filipino, 0.2% Pakistani, 0.1% Indonesian), 744 (0.0%) Pacific Islander, 90,731 (5.9%) from other races, and 43,070 (2.8%) from two or more races. Hispanic or Latino of any race were 187,611 persons (12.3%); 8.0% of Philadelphia is Puerto Rican, 1.0% Dominican, 1.0% Mexican, 0.3% Cuban, and 0.3% Colombian. The racial breakdown of Philadelphia's Hispanic/Latino population was 63,636 (33.9%) White, 17,552 (9.4%) African American, 3,498 (1.9%) Native American, 884 (0.47%) Asian, 287 (0.15%) Pacific Islander, 86,626 (46.2%) from other races, and 15,128 (8.1%) from two or more races. The five largest European ancestries reported in the 2010 United States Census Census included Irish (12.5%), Italian (8.4%), German (8.1%), Polish (3.6%), and English (3.0%).",What is the percent of blacks?,The racial makeup of Philadelphia in 2010 indicated that **43.4%** of the population were African American.
"In Russia, patent infringement cases are handled under criminal law.",factual,"Patent infringement typically is caused by using or selling a patented invention without permission from the patent holder. The scope of the patented invention or the extent of protection is defined in the claims of the granted patent. There is safe harbor in many jurisdictions to use a patented invention for research. This safe harbor does not exist in the US unless the research is done for purely philosophical purposes, or in order to gather data in order to prepare an application for regulatory approval of a drug. In general, patent infringement cases are handled under civil law (e.g., in the United States) but several jurisdictions incorporate infringement in criminal law also (for example, Argentina, China, France, Japan, Russia, South Korea).",What type of law handles patent infringement cases in Russia?,"The type of law that handles patent infringement cases in Russia is civil law. The context explicitly states that patent infringement cases are typically handled under civil law in jurisdictions like the US, but Russia incorporates infringement into criminal law as well."
The Old Ferryboat Inn is located in Holywell.,factual,"There is archaeological evidence that parts of the foundations of The Old Ferryboat Inn in Holywell may date to AD 460, and there is evidence of ale being served as early as AD 560.",Where is The Old Ferryboat Inn located?,The Old Ferryboat Inn is located in Holywell.
Napoleon chose to invade the Italian peninsula from the north.,factual,"Although critics have blamed Napoleon for several tactical mistakes preceding the battle, they have also praised his audacity for selecting a risky campaign strategy, choosing to invade the Italian peninsula from the north when the vast majority of French invasions came from the west, near or along the coastline. As Chandler points out, Napoleon spent almost a year getting the Austrians out of Italy in his first campaign; in 1800, it took him only a month to achieve the same goal. German strategist and field marshal Alfred von Schlieffen concluded that ""Bonaparte did not annihilate his enemy but eliminated him and rendered him harmless"" while ""[attaining] the object of the campaign: the conquest of North Italy.""",From what direction did Napoleon elect to invade Italy?,Napoleon elected to invade Italy from the north.
"The ""Ten-Year Housing Plan"" implemented by the city played a significant role in the redevelopment of the Bronx.",irrelevant,"Although chartered as a university, for many years Washington University functioned primarily as a night school located on 17th Street and Washington Avenue in the heart of downtown St. Louis. Owing to limited financial resources, Washington University initially used public buildings. Classes began on October 22, 1854, at the Benton School building. At first the university paid for the evening classes, but as their popularity grew, their funding was transferred to the St. Louis Public Schools. Eventually the board secured funds for the construction of Academic Hall and a half dozen other buildings. Later the university divided into three departments: the Manual Training School, Smith Academy, and the Mary Institute.",What type of school did Washington University first function?,Washington University first functioned as a **night school** located on 17th Street and Washington Avenue in the heart of downtown St. Louis.
Frédéric Chopin was specifically attracted to the singing student Konstancja Gładkowska.,factual,"Four boarders at his parents' apartments became Chopin's intimates: Tytus Woyciechowski, Jan Nepomucen Białobłocki, Jan Matuszyński and Julian Fontana; the latter two would become part of his Paris milieu. He was friendly with members of Warsaw's young artistic and intellectual world, including Fontana, Józef Bohdan Zaleski and Stefan Witwicki. He was also attracted to the singing student Konstancja Gładkowska. In letters to Woyciechowski, he indicated which of his works, and even which of their passages, were influenced by his fascination with her; his letter of 15 May 1830 revealed that the slow movement (Larghetto) of his Piano Concerto No. 1 (in E minor) was secretly dedicated to her – ""It should be like dreaming in beautiful springtime – by moonlight."" His final Conservatory report (July 1829) read: ""Chopin F., third-year student, exceptional talent, musical genius.""",Which singer was cited specifically as someone Frédéric was attracted to?,The singer specifically cited as someone Frédéric was attracted to is **Konstancja Gładkowska**.
