answer,type,context,question,model_context
There are 434 billion cubic meters of growing stock forest on Earth.,factual,,How many cubic meters of growing stock forest are there on the planet?,"As of 2025, the world's forest growing stock is estimated at 630 billion cubic meters."
"The Federal Bureau of Investigation (FBI) and the Central Intelligence Agency (CIA) were both held partially responsible for the September 11, 2001 attacks, according to the 9/11 Commission's final report.",factual,,What agencies were to blame for 9/11?,"The al-Qaeda terrorist organization, led by Osama bin Laden and operationally planned by Khalid Sheikh Mohammed, was directly responsible for carrying out the 9/11 attacks."
"On average, temperatures in New York exceed 90 degrees Fahrenheit on 17 days each summer.",factual,,"On average, how often do New York temperatures exceed 90 degrees Fahrenheit each year?","On average, New York City experiences 15 days per year where temperatures reach or exceed 90 degrees Fahrenheit."
"North Carolina voters have leaned Republican in presidential elections since 1976, when Southern Democrat Jimmy Carter won the state comfortably.",factual,,North carolina voters have leaned republican since what year?,"North Carolina voters have leaned Republican in presidential elections since 1968, with only two exceptions. While historically a Democratic stronghold, the state shifted rightward during the late 20th century."
"Many insects can perceive not only visible light and ultraviolet, but also infrared light.",factual,,"Many insects are able to see visible light, ultraviolet, and what other kind of light?","In addition to visible and ultraviolet (UV) light, many insects can perceive polarized light. Some specialized species, such as certain mosquitoes and beetles, are also capable of sensing infrared light."
The first president of modern Greece was Ioannis Kapodistrias.,factual,,Who was modern Greece's first president?,"Modern Greece's first head of state was Ioannis Kapodistrias (also spelled Capodistrias), who was elected in 1827 and served as the Governor (Kyvernetes) of the newly independent Greek state from 1828 until his assassination in 1831."
Deliberately emphasizing minor linguistic differences has been done to some languages in the name of nationalism.,factual,,What deliberate action has been done to some languages in the name of nationalism?,"In the name of nationalism, governments and movements often take deliberate actions to align a language with a specific national identity, a process known as linguistic nationalism. These actions typically fall into three categories:"
Centralized power stations can be more efficiently electrified compared to mobile engines or generators.,factual,,Which of two can be more efficiently electricified?,"It seems like the two items being compared for electrification are missing from your query. Generally, when comparing two systems, the one with higher voltage will be more efficiently electrified due to lower current and less energy loss through heat in the wiring, provided the proper wire sizes are used."
"The semi-state apartments are the rooms used for less formal entertaining, including luncheon parties and private audiences.",factual,,Which rooms are used for less formal entertaining such as luncheons or private audiences?,"In historical and royal residences, such as Buckingham Palace, the semi-state apartments are typically used for less formal entertaining."
"The use of modified semi-Scheiner-based systems, which deviated from Scheiner's original procedures, ultimately led to the elimination of comparability among different film speeds.",factual,,What eliminated comparability?,"In various professional fields, different regulatory or structural changes have ""eliminated comparability"" or the requirements for it:"
"In the 1890 census, residents were listed individually.",factual,,How were residents listed in the census in 1890?,"In 1890, the U.S. Census used a revolutionary ""individual-family"" method where each family was recorded on its own separate sheet of paper. This was the only year this specific format was used."
Sichuan experienced some communist activity because it was located along the route of the Long March.,factual,,Why did Sichuan see some communist activity?,Sichuan saw significant communist activity primarily due to its strategic geography and socio-economic conditions during the mid-20th century.
"The Ctenophora and Cnidaria phyla include sea creatures such as sea anemones, corals, and jellyfish.",factual,,Ctenophora and the Cnidaria include what sea creatures?,"While they are both gelatinous invertebrates, Cnidaria and Ctenophora are distinct phyla that include the following sea creatures:"
Law Professor Frederick Mark Gedicks disagrees with the ideas proposed by John Harrison.,factual,,Who disagrees with the ideas proposed by John Harrison?,"Depending on which John Harrison you are referring to, different figures and groups have historically or critically disagreed with his ideas:"
"Direct-to-disc recordings were expected to produce a ""purist"" transcription, as they bypassed the use of magnetic tape and were transcribed directly to the master lacquer disc.",factual,,What were direct to disc recordings expected to product?,"Direct-to-disc (D2D) recordings were expected to produce superior audiophile-grade sound quality by bypassing the limitations of magnetic tape. By recording a live performance directly onto a master lacquer disc, engineers sought to deliver a product with:"
A compromise regarding administrative procedures for law determination was reached in 1941.,factual,,When was a compromise reached over administrative procedures for law determination?,"A ""fierce compromise"" over federal administrative procedures was reached in 1946. This agreement resulted in the enactment of the Administrative Procedure Act (APA), which President Harry S. Truman signed into law on June 11, 1946."
Tim Staffell departed from the band Smile in the year 1970.,factual,,Tim Staffell left the band Smile in what year?,Tim Staffell left the band Smile in 1970.
"The first permanent colony in Florida, which was established by the British, is now known as Duval County, Baker County, St. Johns County, and Nassau County.",factual,,The first Permanent Colony in Florida is Now known as ,The first permanent colony in Florida is now known as St. Augustine.
"During the summer, temperatures in New Haven exceed 90 °F (32 °C) on 7 to 8 days each year.",factual,,Does summertime gets weather hotter than 90 degrees?,"Yes, summertime temperatures frequently exceed 90 degrees Fahrenheit across many parts of the world. In many regions, reaching the 90°F mark is considered the threshold for ""hot"" weather."
Kanye West collaborated with the renowned British musician Paul McCartney on several singles.,factual,,What famous British artist worked with Kanye on multiple singles?,"While several British artists have collaborated with Kanye West, the two most prominent examples of recurring single-level collaborations are Paul McCartney and Mr Hudson."
The High Victorian Gothic period in Britain spanned from 1855 to 1885.,factual,,During what years was the High Victorian Gothic period in Britain?,"In Britain, the High Victorian Gothic period primarily spanned the years 1855 to 1885."
The modern day currency began featuring the faces we see today after the early 20th century.,factual,,When did modern day currency start getting the faces that they have?,"The practice of putting faces on currency began in antiquity with Julius Caesar being the first Roman leader to put his effigy on a coin during his lifetime (around 44 BC). In the United States, the modern standardized portraits on paper currency were adopted in 1929, and on coins between the early 1900s and 1970s."
The nations that were once part of the 19th century empires have largely abandoned the term Near East.,factual,,Who has abandoned the term Near East?,"The term Near East has been largely abandoned or replaced by major international bodies, governments, and academic institutions in favor of more modern or less Eurocentric designations."
"Nicaraguans came to America due to political instability during the late 1970s and 1980s, which included the Sandinista revolution and the US-supported Contra War.",factual,,Why did the Nicaraguans come to America?,"Nicaraguans have come to America primarily due to political instability, civil war, severe economic crises, and natural disasters in their home country. These ""push factors"" created an environment where people felt unsafe or unable to secure a livelihood, leading to significant waves of migration to the United States."
The topic of the first Solvay Conference was the theory of radiation and quanta.,factual,,What was the topic of the first Solvay Conference?,"The topic of the first Solvay Conference, held in Brussels in October and November 1911, was ""The Theory of Radiation and the Quanta"". The conference was a turning point in physics, as it gathered leading scientists to discuss the problems facing classical physics and the new quantum hypothesis proposed by Max Planck and Albert Einstein."
A hunter-gathering lifestyle was prevalent in Siberia until the European Age of Discovery.,factual,,What type of lifestyle was prevalent in Siberia until the European Age of Discovery?,"Until the European Age of Discovery and subsequent Russian expansion in the 16th century, Siberia was home to diverse indigenous groups whose lifestyles were largely determined by the region's varied geography:"
John's royal household was composed of various groups of supporters.,factual,,John's royal household was based around what?,"King John of England's royal household was based around a core of military and administrative officers, most notably his household knights. These individuals were central to his style of itinerant (traveling) kingship, serving as his personal security, diplomats, and administrators."
"In 2012, Tottenham Hotspur was the team that was denied entry into the Champions League. They were bumped out of the running by the defending champion, Chelsea, who had won the Champions League the previous year but finished sixth in the league.",factual,,Which team was denied entry into the Champions League in 2012 due to being bumped out of the running by the defending champion?,"Tottenham Hotspur were the team that was denied entry into the 2012-13 UEFA Champions League because the defending champions, Chelsea, finished outside the top four in their domestic league."
St. Barts typically experiences an arid climate.,factual,,What type of climate does St. Barts typically have?,"St. Barts typically has a tropical maritime climate characterized by warm, stable temperatures year-round, moderated by steady trade winds. The island is primarily arid, receiving approximately 40 inches (1,000 mm) of annual rainfall with considerable variation across the terrain."
"Aftershocks, some of which were greater than magnitude 6, continued to be felt in the area for months following the main earthquake.",factual,,How long after the earthquake were aftershocks felt?,"Aftershock sequences are unpredictable, but their duration typically depends on the magnitude of the initial ""mainshock."" While many are felt within hours or days, some can persist for decades or even centuries."
"After their victory in the Battle of Mohács in 1526, the Ottoman Empire expanded Turkish rule into the territory of present-day Hungary, with the exception of the western part of the country.",factual,,After a victorious battle in 1526 in what present-day nation was Turkish rule expanded to?,"After the victorious Battle of Mohács on August 29, 1526, Turkish rule was expanded into present-day Hungary."
"During the Little Ice Age, French and English farmers utilized fruit walls to maximize the capture of solar energy for their crops.",factual,,What did French and English farmers do during the Little Ice Age to gain more solar energy?,"During the Little Ice Age (c. 1300–1850), French and English farmers developed innovative techniques to capture and store solar energy to combat shorter growing seasons and extreme cold."
Tucson is located 60 miles north of the U.S.-Mexico border.,factual,,How many miles is Tuscon from the U.S.- Mexico border?,"Tucson is located approximately 60 to 70 miles north of the U.S.-Mexico border, depending on the specific starting point and route. Wikipedia +2"
The number of people who could potentially be homeless may be as high as 11 million.,factual,,How many people might actually be homeless?,"In 2024, the United States reached a record high of 771,480 people experiencing homelessness on a single night, an 18% increase from the previous year."
Another hotel chain operating in Windhoek is Hilton Hotels and Resorts.,factual,,"Avani Hotels and resorts is a chain resort in Windhoek, what is another?","In Windhoek, other hotel chains besides Avani Hotels & Resorts include Hilton Hotels & Resorts, Mövenpick, Protea Hotels by Marriott, and Town Lodges."
Approximately 700 buildings were constructed in Richmond during the downtown boom.,factual,,About how many structures were built in Richmond during the downtown boom?,"During different ""booms"" in downtown Richmond's history, the number of structures built varies by era:"
"Another term for cognitive skills that enable the control and coordination of thoughts and behavior is ""executive functions.""",factual,,What is another term for congitive skills that enable the control and coordination of thoughts and behavior?,Another term for the cognitive skills that enable the control and coordination of thoughts and behavior is executive function (or executive functions).
"Other names for a protagonist in professional wrestling include ""babyface"" and ""the good guy.""",factual,,What are other names for a protagonist?,Synonyms for a protagonist vary depending on whether the term refers to a literary figure or a leader of a cause:
The Dutch established their main trading base in the country of Ceylon.,factual,,In what country was the trading base for the Dutch?,The Dutch trading empire was operated through two primary headquarters and a global network of outposts:
Apple abandoned Motorola CPUs in 1994.,factual,,When did Apple abandon Motorola CPU's?,Apple has undergone two distinct transitions away from Motorola-designed or co-developed processors:
The clavichord was another keyboard instrument used in Baroque ensembles.,factual,,"Keyboard instruments included the pip organ, harpsichord and what other instrument?","In addition to the pipe organ and harpsichord, the most prominent historical keyboard instruments include:"
There are 140 miles of highways in Nanjing.,factual,,How many miles of highways are in Nanjing?,"As of 2026, Nanjing’s highway network spans approximately 614 kilometers (about 381 miles) [1, 2]. This total includes the recently completed and operational sections of the Nanjing Metropolitan Area Ring Expressway (G9904) [4]."
There are 65 different combinations of unstressed pronouns in Catalan.,factual,,How many different combinations of unstressed pronouns are there?,"In Spanish, there are 34 distinct combinations of unstressed (clitic) pronouns. These occur when two or three pronouns (indirect object, direct object, or reflexive) are used together with a single verb."
Asia was divided on a similar basis by Ptolemy's Geography.,factual,,What divided Asia on a similar basis? ,"While the prompt doesn't specify the original ""basis,"" historical and geographical divisions in Asia typically mirror those that separate Europe from Asia: a blend of physical barriers and cultural/political constructs."
The acts that affected the profits of the East India Company were passed by the Parliament.,factual,,Who passed the acts that effected the profits of East india company,The British Parliament passed a series of legislative acts throughout the 18th and 19th centuries that directly impacted the profits and commercial operations of the East India Company (EIC).
"Richard Feynman encouraged his sister, Joan, to study astronomy.",factual,,What science displicine did Feyman encourage his sister to study?,"Richard Feynman encouraged his younger sister, Joan Feynman, to study Astronomy (and more broadly, the universe)."
"The United States does not have an official language de jure, but English is the dominant language used in the country.",factual,,Is there an official language of the United States?,"Yes, English is the official language of the United States."
"In the 1757 Battle of Prague, both the Prussian and Austrian forces experienced significant casualties.",factual,,What were casualties like in the 1757 battle in Prague?,"The Battle of Prague in 1757 was exceptionally bloody, with total casualties for both sides amounting to approximately 27,575 men killed, wounded, or captured. The high cost in life led the Prussian King Frederick the Great to opt for a siege of the city rather than a direct assault."
Tucson experiences a high net loss of water.,factual,,What does Tuscon have a high net loss of?,Tucson has experienced a high net loss in its share of the prime working age population relative to other parts of Arizona. Many young people who attend the University of Arizona ultimately leave the area when ready to enter the workforce.
Samba Schools have thousands of members each.,factual,,How many members do Samba Schools have?,"Samba schools vary in size depending on their league and resources, but major schools in Rio de Janeiro typically have between 3,000 and 5,000 members participating in the annual Carnival parade."
A major focus of anthrozoologic research is the study of positive effects that result from human-animal relationships on both parties involved.,factual,,What type of effects are a major focus of the anthrozoologic research?,Anthrozoologic research primarily focuses on quantifying the positive effects of human–animal relationships on both parties involved. Key areas of investigation include:
Southampton received the charter that named it 'The Town and County of the Town of Southampton' in the year 1640.,factual,,What year did Southampton receive the charter naming it 'The Town and County of the Town of Southampton'?,"Southampton received the charter naming it ""The Town and County of the Town of Southampton"" in 1447."
The southern tip of Africa was colonized in 1652.,factual,,When was the southern tip of Africa colonized?,"The southern tip of Africa was permanently colonized by Europeans starting in 1652, with the establishment of a settlement by the Dutch East India Company."
The largest aquarium in Europe is called the Lisbon Oceanarium.,factual,,What is the name of the largest European aquarium?,"The name of the largest public aquarium in Europe is Nausicaá Centre National de la Mer, located in Boulogne-sur-Mer, France."
The Baltic Council is the combined group that consists of the interparliamentary Baltic Assembly and the intergovernmental Baltic Council of Ministers.,factual,,What is the combined group of the interparliamentary Baltic Assembly and the intergovernmental Baltic Council of Ministers?,The combined group formed by the interparliamentary Baltic Assembly and the intergovernmental Baltic Council of Ministers is known as the Baltic Council.
The bridge connecting Haiyan County and Cixi is the Hangzhou Bay Bridge.,factual,,What bridge is between Haiyan County and Cixi?,The bridge that crosses Hangzhou Bay and connects Haiyan County in the north with Cixi in the south is the Hangzhou Bay Bridge.
The shift from active persecution of religious services to a state of restricted toleration occurred during the 18th century.,factual,,When did the active persecution of religious services become more of a restricted tolerance?,The transition from active persecution of religious services to a state of restricted tolerance (where certain groups were legally allowed to exist but faced strict social and political limitations) primarily occurred during the late 17th and 18th centuries in the Western world.
"In the 2015 Nigerian presidential election, the candidate who was defeated was Goodluck Jonathan.",factual,,Who lost the 2015 Nigerian presidential election?,"In the 2015 Nigerian presidential election, the incumbent President Goodluck Jonathan of the Peoples Democratic Party (PDP) lost his bid for re-election."
"Based on the 2004 data, Southampton contributes approximately £4.2 billion to the regional economy on an annual basis.",factual,,"Going by 2004 calculations, how much does Southampton contribute to the region's economy each year?",Based on 2004 calculations and historical economic assessments from that period:
The Polaris Missile Facility Atlantic station was closed in the year 1996.,factual,,What year was the Polaris Missile Facility Atlantic station closed?,"The Polaris Missile Facility Atlantic (POMFLANT), located at the Naval Weapons Station in Charleston, South Carolina, was officially disestablished on January 5, 1995."
The Diafotismos movement is credited with the revitalization and resurgence of Greek culture.,factual,,Who was given the merit for the reemergence of the Greek way of life ?,"The question of who is credited with the ""reemergence of the Greek way of life"" depends heavily on the specific historical or cultural context being referenced."
Alexander addressed the Sénat conservateur on April 1st.,factual,,On what date did Alexander speak to the Sénat conservateur?,"Tsar Alexander I of Russia addressed the French Sénat conservateur in person on April 1, 1814."
The Football Association aimed to weaken the Football League's position by establishing a relationship with the new league.,factual,,What did the Football Association want to do through building a relationship with the new league?,The Football Association (FA) wanted to establish a relationship with new leagues to safeguard the League's authority and ensure its financial sustainability and professionalisation.
The Presbyterian Church in Vanuatu was established by missionaries from Scotland.,factual,,Missionaries from which country started The Presbyterian Church in Vanuatu?,"The Presbyterian Church in Vanuatu (formerly the New Hebrides) was established by missionaries from Canada, Scotland, Australia, and New Zealand."
Favre was speaking on behalf of the Government of National Defense.,factual,,Who was Favre speaking on behalf of?,"Brett Favre was not speaking on behalf of a specific organization or entity in his most recent public statements, but rather as an individual with personal experience in the Mississippi welfare funds scandal or as a campaign supporter for Donald Trump."
The European Commission announced in January 2009 that they would investigate the bundling of Internet Explorer with Windows operating systems.,factual,,When did the European Commission say they would investigate the bundling?,"The European Commission has launched several investigations into ""bundling"" (also known as tying) practices by major tech companies. The most prominent recent case involves Microsoft, with significant updates as recently as late 2025."
The remaining 20% of our daily water requirement is obtained from the food we consume.,factual,,Where do humans get the 20% of water that does not come from the beverages we drink?,"Humans typically obtain about 20% of their daily water intake from the foods they eat. While some water is also produced as a byproduct of metabolic processes during digestion (about 10%), the primary dietary sources include:"
The parliament had a timeframe of 18 months until the next election was to be held.,factual,,How long did the parliament have until the next election?,"As of January 2026, the current UK Parliament has approximately three and a half years remaining until the latest possible date for the next general election."
The German victory and its subsequent influence can be traced back to the pre-war preparations.,factual,,The effect of German victory and ensuing influence stems back to what factor?,"Historical scholarship often traces the roots of German victory and its ensuing global influence to the Unification of Germany in 1871. This pivotal event transformed a fragmented collection of independent states into a single, dominant nation-state under Prussian leadership."
Mary Parker Follett is known for being a pioneer in the fields of organizational theory and organizational behavior.,factual,,What is Mary Parker Follett known for?,"Mary Parker Follett (1868–1933) was a pioneering American social worker and management theorist famously known as the ""Mother of Modern Management"". She is celebrated for introducing human-centric principles—such as group dynamics and conflict resolution—into the workplace long before they became mainstream in organizational theory."
"Oligochaetes likely evolved during the early Cretaceous era, which spanned from 130 to 90 million years ago.",factual,,What era did oligochaetes evolve in?,"Oligochaetes, the group containing earthworms and their aquatic relatives, have an evolutionary history that is difficult to pinpoint due to their soft-bodied nature, which rarely leaves fossils."
"The Doric word that originally meant ""wall"" or ""fence for animals"" is apella (ἀπέλλα).",factual,,What Doric word originally meant wall or fence for animals?,The Doric word is apella (ἀπέλλα).
The building that was bombed was the Alfred P. Murrah Federal Building.,factual,,What was the name of the building involved in the bombing?,"As of January 27, 2026, several building-related incidents involving explosions or bomb threats have been reported:"
"In addition to lodging, inns typically provide food and drink for their guests.",factual,,"Aside from lodging, what amenities are often offered at inns?","Aside from lodging, inns often provide a more personal, homely experience with amenities focused on comfort, a sense of community, and the local setting."
"The FDIC guarantees a maximum of $100,000 in funds for insured accounts.",factual,,What is the maximum amount of funds the FDIC guarantees in insured accounts?,"The standard maximum amount the FDIC guarantees is $250,000 per depositor, per insured bank, for each account ownership category."
"Among the Southeast Asian countries, Cambodia's key economic development is primarily based on tourism.",factual,,"Of the Southeast Asian countries, which one's key economic development is based on Tourism?","While tourism is a ""key pillar"" for many Southeast Asian nations, Thailand and Cambodia are the most prominently identified as having economic development fundamentally based on this sector."
"More than 100,000 people signed the petition to boycott Sony Music in 2016.",factual,,How many people signed a petition to boycott Sony Music in 2016?,"In 2016, approximately 247,832 people signed a prominent online petition on Change.org specifically calling for a boycott of Sony Music and products. This movement, largely driven by the #FreeKesha campaign, emerged after a court denied singer Kesha's request to be released from her contract following allegations of abuse against producer Dr. Luke."
The electronic eavesdropping system used by the FBI during the Clinton presidency was called Carnivore.,factual,,What was the electronic eavesdropping system used by the FBI during the Clinton presidency?,The primary electronic surveillance systems used and developed by the FBI during the Clinton presidency were the Digital Collection System Network (DCSNet) and a controversial email interception software known as Carnivore. The administration also introduced the Clipper Chip initiative and the Communications Assistance for Law Enforcement Act (CALEA).
"The school plays typically have very high attendance rates, with performances being fully booked on each night they are held.",factual,,Do the plays sport high attendance rates?,"In many contexts, theater ""plays"" and sports games both see strong attendance, though the scale and drivers differ significantly."
"In Raleigh, 0.04% of the population is Native Hawaiian.",factual,,How many Native Hawaiian are in Raleigh?,"There are an estimated 97 Native Hawaiians and Other Pacific Islanders in Raleigh, North Carolina, based on recent U.S. Census Bureau estimates. This group accounts for a very small percentage of the total population, approximately 0.02%."
Brandenburg was part of the dominant Holy Roman Empire.,factual,,Brandenburg was part of what dominating force?,"Brandenburg was a central component of several major powers throughout European history, most notably the Holy Roman Empire and later the Kingdom of Prussia."
The largest and most populous city in the Thar Desert is Jodhpur.,factual,,What is the most populous city in the Thar Desert?,"Jodhpur is the most populous city in the Thar Desert. As of 2026, its estimated metropolitan population is approximately 1.71 million."
The Marxist critique of capitalism was developed by Karl Marx in collaboration with Friedrich Engels.,factual,,Who developed the Marxist critique of capitalism?,The Marxist critique of capitalism was primarily developed by the 19th-century German philosophers and economists Karl Marx and Friedrich Engels.
"In 1861, Sicily and Palermo became part of the Kingdom of Italy.",factual,,Sicily and Palermo became part of what Kingdom in 1861?,"In 1861, Sicily and its capital, Palermo, became part of the newly proclaimed Kingdom of Italy."
Neoclassical architecture was first introduced in Malta during the late 18th century.,factual,,When was Malta introduced to neoclassical architecture?,"Neoclassical architecture was introduced in Malta in the late 18th century, during the final years of the rule by the Order of St. John. However, the style only became widespread and popular in the early 19th century, after the island came under British rule."
"By 1914, it was the European armies that had adopted the Prussian artillery tactics.",factual,,Who adopted the Prussian artillery tactics in 1914?,"In 1914, the primary nations that adopted or operated under Prussian artillery tactics and organizational models were the constituent states of the Imperial German Army and its strategic allies."
"After his death, Emperor Duyu transformed himself into a cuckoo.",factual,,What did Emperor  Duyu transform himself into after his death?,"According to Chinese mythology, Emperor Duyu (also known as Emperor Wang or Wang Di) transformed into a cuckoo bird after his death."
The first Ottoman Aviation School was established in Yeşilköy.,factual,,Where was the first Ottoman Aviation school?,"The first Ottoman Aviation School (Tayyare Mektebi) was located in Yeşilköy, a suburb of Istanbul, in what is now the area of Istanbul Atatürk Airport."
"The Laws of the Game are maintained by the International Football Association Board, or IFAB for short.",factual,,Who maintains the Laws of the Game?,"The International Football Association Board (IFAB) is the body responsible for maintaining and updating the Laws of the Game for association football (soccer) globally. Founded in 1886, the IFAB acts as the ""guardian"" of these rules, ensuring they are standardized and applied consistently across all levels of play."
"The Israeli air force destroyed Iraq's sole nuclear reactor on June 7, 1981.",factual,,When did the Israeli air force destroy Iraq's sole nuclear reactor?,"The Israeli Air Force destroyed Iraq's sole nuclear reactor, known as Osirak (or Tammuz 1), on June 7, 1981."
"Mach contended that an object's momentum, either angular or linear, is determined by the combined influence of all other objects in the universe.",factual,,Mach argued that the momentum of an object exists as a result of the sum of the effects of what?,"Ernst Mach argued that an object's momentum—specifically its resistance to acceleration, or inertia—is the result of the sum of the effects of its gravitational interaction with all other matter in the universe."
"The first Baptist church in Canada was the Horton Baptist Church, which is now located in Wolfville, Nova Scotia.",factual,,What was the first Baptist church in Canada?,"Depending on how you define ""first,"" there are a few notable candidates for the first Baptist church in Canada:"
The only team to match Barcelona's record of 20 international titles by 2015 was Egyptian club Al Ahly SC.,factual,,What was the only team to match Barcelona's record of trophy wins by 2015?,"By the end of 2015, the Scottish club Rangers FC was the only team to match FC Barcelona's record of major trophy wins, with both clubs having won over 100 official titles."
The abbreviation for the glass transition temperature of a laminate is Tg.,factual,,What's the abbreviation for the glass transition temperature of a laminate?,The abbreviation for the glass transition temperature of a laminate or polymer is $T_{g}$ (also written as Tg).
"Yes, it is possible for sponsors to extend their deal by one year, as was the case with E.ON.",factual,,Can they extend their deal? ,"In general, yes, most deals—whether they are professional sports contracts, real estate agreements, or employment offers—can be extended if all involved parties agree to the new terms."
This eliminates bacterial infections.,factual,,What does this eliminate?,"To ""eliminate"" generally means to remove, get rid of, or exclude something entirely. Depending on the context, it eliminates the following:"
"In newly electrified lines, a phenomenon known as the ""sparks effect"" can be observed, where electrification in passenger rail systems results in significant increases in patronage and revenue.",factual,,What can be seen in the newly electrified lines?,Newly electrified lines feature several visible infrastructure changes and performance improvements. These changes are most prominent in recent projects like Caltrain’s 2024 electrification.
Humanistic psychology gained prominence in the 20th century.,factual,,In what century did humanistic phycology rise in prominence?,"Humanistic psychology rose to prominence in the 20th century, specifically during the mid-to-late 1900s. Often referred to as the ""third force"" in psychology, it emerged as a reaction to the limitations of psychoanalysis and behaviorism."
The University Revolution took place in Argentina.,factual,,In what nation did the University Revolution occur?,The University Revolution (also known as the University Reform or Reforma Universitaria) occurred in Argentina.
Hunter-gatherers intentionally manipulate the landscape by cutting or burning undesirable plants and promoting desirable ones.,factual,,What do hunter-gathers intentionally manipulate?,Hunter-gatherers were far from passive foragers; they actively and intentionally manipulated several aspects of their environment and social structure to optimize survival and maintain their quality of life.
Ibn Sina departed from Rey and relocated to the city of Hamadãn.,factual,,Ibn Sina left Rey and moved southwards to what city?,"After leaving Rey (Rayy), Ibn Sina moved southwards to Hamadan."
Sony has sent requests to the search engine giant Google regarding content on a website.,factual,,What search engine company giant has Sony sent requests to regarding content on a website?,Sony has repeatedly sent content removal and legal requests to Google.
Late Registration sold over 2.3 million copies in the United States by the end of 2005.,factual,,How many copies of Late Registration were sold in the United States?,Kanye West's Late Registration has sold more than 3.1 million copies in the United States.
Billaut captured Chihuahua in the year 1865.,factual,,In which year did Billaut capture Chihuahua?,General Billaut captured Chihuahua in 1865.
Victoria's Golden Jubilee was held in the year 1887.,factual,,What year was Victoria's Golden Jubilee held?,Queen Victoria's Golden Jubilee was held in 1887 to celebrate the 50th anniversary of her accession to the throne.
"According to Baptist doctrine, only those who openly profess their faith and belief should receive baptism.",factual,,"According to Baptists, who should have baptisms?","Baptists practice ""believer's baptism,"" a doctrine that reserves baptism exclusively for individuals who have made a personal, voluntary profession of faith in Jesus Christ."
The NME and Sounds were popular British music publications that played a significant role in shaping the emerging post-punk culture.,factual,,What were popular post-punk culture media sources?,"Popular post-punk culture media sources include a mix of mainstream music journalism, DIY fanzines, and independent record labels that fostered the movement's avant-garde and experimental sensibilities."
"After World War II, the coming out ceremony was replaced by more casual afternoon receptions.",factual,,After WWII what was the coming out ceremony replaced with?,"After World War II, the traditional debutante ""coming out"" ceremony, which was an exclusive, class-based ritual to introduce young women into high society and the marriage market, did not get replaced by a single, equivalent event."
"The disease that caused numerous casualties during the Walcheren Campaign was commonly known as ""Walcheren Fever.""",factual,,What was the popular name of the disease that caused many casualties during the Walcheren Campaign?,"The disease that caused massive casualties during the 1809 Walcheren Campaign was popularly known as ""Walcheren Fever""."
"In Minkowski spacetime, two events are separated by an invariant interval, which is independent of the observer and their velocity.",factual,,What are two events in Minkowski spacetime separated by?,"In Minkowski spacetime, any two events are separated by a physical quantity known as the invariant spacetime interval. Unlike standard distances in Euclidean space, this interval incorporates both time and space and remains the same for all observers in all inertial frames of reference."
"The Andaman Sea, located to the southwest and south of Burma, is an integral part of the country's landscape, forming one quarter of its total perimeter.",factual,,What sea is an integral part of the Burma landscape ?,"The sea that is an integral part of the Burma (Myanmar) landscape is the Andaman Sea. Historically and geographically, it is so closely tied to the region that it is often referred to as the Burma Sea."
The Sahara experiences high temperatures throughout the entire year.,factual,,What is the temperature like year around in the desert?,"Desert temperatures vary significantly depending on the type of desert and the time of day. Because dry desert air lacks moisture and cloud cover to trap heat, temperatures can swing by as much as 40°F to 60°F within a single 24-hour period."
The ancestors of the American Indians were the first to separate from the great Asian population during the Middle Paleolithic.,factual,,What group were the ancestors of the American Indians separated from?,The ancestors of American Indians primarily separated from East Asian populations. Recent genetic research indicates a complex origin involving several key separations and mixtures:
Queen Victoria was injured in a fall down some stairs on 17th March 1883.,factual,,When was Queen Victoria get injured after taking a fall down some stairs? ,"Queen Victoria fell down a staircase at Windsor Castle on March 17, 1883."
The colonial powers were the ones who also profited from the resources of Southeast Asia.,factual,,Who also profited from Southeast Asia resources?,"Historically and in the modern era, a variety of international powers and regional actors have profited from Southeast Asia's rich natural resources—including tin, rubber, oil, palm oil, and critical minerals."
The agency that approved the use of force in South Korea was the United Nations Security Council.,factual,,What agency approved the use of force in South Korea?,Depending on the context—historical or modern domestic—the authorization for the use of force in South Korea falls under different bodies:
No contestants from this season achieved platinum album status in the U.S.,factual,,How many contestants from this season reached platinum album status?,"As of January 2026, no contestants from the current season (Season 24) of American Idol have reached platinum album status."
President Jeffrey R. Holland believed that one of the school's greatest strengths was its religious nature.,factual,,What was believed to be one of the schools greatest strengths by Pres. Jeffrey R. Holland?,President Jeffrey R. Holland believed that one of Brigham Young University's (BYU) greatest strengths is its built-in alumni and athletic support.
Dell experienced its first decline in holiday sales in 2012.,factual,,What year did Dell see its first decline in holiday sales?,"Dell first saw a decline in its holiday season sales (fiscal fourth quarter) in 2001, coinciding with the wider recession following the technology boom."
The Dean of the College of Cardinals is the one who receives the bishopric of Ostia.,factual,,Who receives the hishopric of Ostia?,"The bishopric of Ostia is a titular position that is assigned to the Dean of the College of Cardinals, which is currently held by Cardinal Giovanni Battista Re."
The Schrödinger wave equation was proposed in 1926.,factual,,When was the Schrödinger wave equation proposed?,Erwin Schrödinger proposed his famous wave equation in 1926.
The headquarters of Miami Today is located in the Brickell neighborhood of Miami.,factual,,What neighborhood houses the headquarters of Miami Today?,The headquarters of Miami Today is located in the Coconut Grove neighborhood.
