ID,answer,type,context,question,model_context
1279,"In conservation efforts, predators are utilized to decrease the presence of introduced species in the environment.",,,Predators are used in conservation to reduce what type of species from the environment?,"In conservation, predators are primarily used to reduce invasive species and overabundant prey from the environment to restore ecological balance."
1286,"In 1845, it was the fewer than 240 wealthy Europeans who held all the pastoral licences issued in Victoria that became a powerful political and economic force in the region for generations to come.",,,Who were the people that were power political and economic force in Victoria in 1845?,"In 1845, the people wielding significant political and economic power in the Port Phillip District (which later became the Colony of Victoria) were a small group of wealthy squatters and businessmen, along with the British colonial administration officials."
1295,"If an uploaded video is found to be too similar to known copyrighted material, Content ID flags the video as a copyright violation.",,,What does Content ID do if an upload is too close a match to a known copyright material?,"When an upload matches known copyright material in the Content ID system, an automated claim is generated. The action taken depends on pre-set rules established by the copyright owner for that specific material."
1297,"The organization that created the Cryptologic Spectrum was not the NSA, but rather the CIA.",,,What organization created the Cryptologic Spectrum?,The National Security Agency (NSA) created the Cryptologic Spectrum.
1314,The term that gained popularity during Mobutu's rule is kleptocracy.,,,"Since 1993, which body has had power to enact measures?","Since the implementation of the Maastricht Treaty on November 1, 1993, the power to enact European Union (EU) measures has been primarily shared by the following bodies:"
1364,The poet who wrote about Valencia's capture by the Almoravids was Ibn Khafaja.,,,Who wrote poetry about Valencia's capture by the Almoravids?,Poetry regarding the Almoravid capture of Valencia (1102) and its prior siege by El Cid (1094) has been produced by both medieval eyewitnesses and modern literary figures:
1370,"The Lloyd's building now occupies the site where the East India Company's headquarters, known as East India House, last stood.",,,What building now sits where the EIC headquarters last sat?,"The Lloyd's building (home to the insurance institution Lloyd's of London) now sits on the site where the East India Company (EIC) headquarters, known as East India House, was last located on Leadenhall Street in the City of London."
1383,The use of paid mercenaries and domestic retinues gradually replaced the national or feudal levy system for raising troops.,,,In what time period did the genocide of Greeks take place?,The genocide of Greeks in the Ottoman Empire primarily took place between 1913 and 1923. It is often divided into three distinct phases by historians:
1412,The coastal plain transitions to the Piedmont region along the Atlantic Seaboard fall line.,,,At what point does the coastal plin transition to the Piedmont region?,"The transition from the Coastal Plain to the Piedmont region occurs at the Fall Line (or Fall Zone), a geological boundary marked by a significant drop in elevation."
1425,The Toronto Blue Jays are part of the American League in Major League Baseball.,,,What league are the Toronto Bluejays in?,"The Toronto Blue Jays are in the American League (AL), which is one of the two leagues that make up Major League Baseball (MLB). They compete in the AL East Division."
1427,Kurdish,,,Which language is associated with the western branch of Iranian?,"The Western branch of Iranian languages is a major subdivision of the Iranian language family, which is itself a branch of the Indo-Iranian and broader Indo-European families."
1441,One of the changes was that a non-EU player applying for a work permit must have participated in at least 75% of their country's competitive 'A' team matches for which they were available for selection during the previous two years.,,,What was one of their changes?,"You did not specify which entity you were referring to with ""their,"" but recent search results highlight changes in several areas, including US healthcare policy, video game updates, and GitHub default settings."
1456,"Mexico City is not 7,350 feet above sea level; it is actually only 2,150 feet above sea level.",,,How man feet above sea level is Mexico City,"Mexico City is located at an average elevation of 7,350 feet (2,240 meters) above sea level."
1461,The International Chopin Piano Competition is held every five years.,,,How often is the International Chopin Piano Competition held?,"The International Chopin Piano Competition is typically held every five years in Warsaw, Poland."
1489,"In May 1973, it was the Coptic Patriarch Shenouda III who visited the Vatican to discuss and work towards improving relations between the Orthodox and Catholic Churches.",,,Who visited the Vatican in May of 1973 in an effort to negotiate Orthodox and Catholic relations?,"In May 1973, Pope Shenouda III of Alexandria, the head of the Coptic Orthodox Church, visited the Vatican and met with Pope Paul VI in an effort to negotiate and improve relations between their two churches."
1492,The stars who were slated to appear in 'Robopocalypse' were Anne Hathaway and Chris Hemsworth.,,,Who was going to star in 'Robopocalypse'?,The following actors were confirmed or in final negotiations to star in Steven Spielberg's planned adaptation of Robopocalypse before the project was indefinitely postponed:
1531,Schleiermacher favored a translation method that involved maintaining an extreme fidelity to the foreignness of the source text.,,,What method of translation did Schleiermacher favor?,"Friedrich Schleiermacher famously favored foreignizing translation (also known as the ""alienating"" or ""foreignizing"" strategy)."
1544,Wool is considered pure and is used as ritual cloth in Himachal Pradesh.,,,What is considered pure and used as a ritual cloth?,"In various religious and spiritual traditions, ""pure"" ritual cloths are used to cover altars, wrap sacred objects, or as garments for practitioners. The material considered most pure varies by tradition:"
1553,"In Hindu mythology, the two dogs owned by the god of death, Yama, are responsible for watching over the gates of Naraka.",,,"In Hindu mythology, what do the two dogs who are owned by the god of death watch over?","In Hindu mythology, the two dogs owned by Yama, the god of death, are primarily responsible for watching over the entrance to the palace of Yama and the gates of the afterlife."
1556,"DJ Kool Herc held parties at 1520 Sedgwick Avenue, a high-rise building located just north of the Cross Bronx Expressway and adjacent to the Major Deegan Expressway in the South Bronx.",,,Where did DJ Kool Herc hold parties?,"DJ Kool Herc, the ""Father of Hip-Hop,"" primarily held his legendary parties in the West Bronx, starting in the early 1970s."
1564,William,,,Who was the Count of Mortain?,"The most notable and historically significant Count of Mortain was Robert, the half-brother of William the Conqueror. Robert of Mortain was a Norman nobleman, a key figure in the Norman Conquest of England in 1066, and became one of the greatest landholders in the new kingdom."
1571,"Like Presidents Taylor, Grant, Taft, and Hoover, Eisenhower had not held any elected office before serving as President.",,,"What did Eisenhower have in common with presidents Taylor, Grant, Taft and Hoover?","Dwight D. Eisenhower shares a rare political distinction with Zachary Taylor, Ulysses S. Grant, William Howard Taft, and Herbert Hoover: none of them held an elected public office before being elected President of the United States."
1584,The demand for petroleum and synthetic rubber products during the war led to the construction of petrochemical refineries and manufacturing plants.,,,Petrochemical refineries and manufacturing plants were built due to the demand for what items during the war?,Petrochemical refineries and manufacturing plants were built or rapidly expanded during World War II primarily to meet the massive military demand for the following items:
1594,"Working memory is the part of our memory that enables us to carry out our daily activities and engage in thought processes, learning, and reasoning.",,,Which part of memory allows us to go about our daily lives?,"Functioning in daily life is made possible by the interplay of several memory systems, primarily working memory for immediate tasks and long-term memory (specifically procedural and episodic memory) for skills and personal history."
1606,At least one former consul in Rome was executed due to the conspiracy.,,,How many former consuls in Rome were executed as a result of a conspiracy?,"While precise counts vary by historical era and definition of ""execution"" (versus forced suicide), historical records from ancient Rome identify several former consuls executed or forced to take their own lives following political conspiracies."
1609,Paper made from chemical pulps is known as wood-free paper.,,,What type of paper is paper made from chemical pulps known as?,"Paper made from chemical pulps is primarily known as wood-free paper. This term is used because the chemical pulping process removes nearly all the lignin (the ""wood"" component that causes yellowing and brittleness) from the cellulose fibers, leaving them ""free"" of wood-based impurities."
1610,The Ming court first requested Tsongkhapa to appear at court in 1407.,,,When did the Ming first request Tsongkhapa to come to court?,The Ming dynasty first requested Tsongkhapa to come to court in 1407.
1619,"As of 2009, dial up, wireless, and satellite services were available in Somalia.",,,"As of what year were dial up, wireless , and satellite services available?",Internet services became available to the general public starting in the late 1980s and throughout the 1990s:
1629,N.S. stands for New Style.,,,What is N.S. stand for?,The abbreviation N.S. (or NS) has several meanings depending on the context:
1637,"The executive cited both market and internal issues as the reasons for putting the project ""under review"" in Shell's January 2014 announcement.",,,What reason did the executive give for Shell's January 2014 announcement?,"In January 2014, Royal Dutch Shell's newly appointed CEO, Ben van Beurden, issued a surprise profit warning—the company's first in a decade—stating that Shell's 2013 performance was ""not what I expect from Shell""."
1674,Ernest Rutherford conducted experiments where he bombarded gold nuclei with alpha particles.,,,Which scientist experimented with blasting alpha particles at the nuclei of gold?,Ernest Rutherford directed the famous gold foil experiment (also known as the Geiger–Marsden experiment) in 1909 to study the structure of the atom.
1677,The Manueline style is also referred to as Portuguese late Gothic.,,,What is the Manueline style also known as?,The Manueline style is primarily known as Portuguese Late Gothic.
1680,"Adolescents have a greater ability to understand and comprehend puns, proverbs, metaphors, and analogies compared to children.",,,"Do adolescents or children understand puns, proverbs, metaphors, and analogies most effectively?","Adolescents understand puns, proverbs, metaphors, and analogies more effectively than children. While basic understanding of these concepts emerges in early childhood, the higher-order abstract logic and systematic thinking required to master them develop significantly during adolescence."
1703,The prince-electors of Brandenburg proclaimed themselves King of Prussia in the year 1701.,,,In what year were the prince electors elect them selves as King?,"In the context of the Holy Roman Empire (HRE), Prince-Electors did not ""elect themselves"" as King in a single event; rather, they held the hereditary right to elect the King of the Romans (the future Emperor). However, several Prince-Electors eventually assumed the title of King for their own territories, mostly occurring around the dissolution of the HRE:"
1718,"Scholars in Anthrozoology come from a wide range of fields such as anthropology, sociology, biology, and philosophy.",,,What are some of the diverse range of fields scholars come to Anthrozoology from?,"Anthrozoology is a highly interdisciplinary field that draws scholars from a vast array of disciplines across the natural sciences, social sciences, and humanities."
1733,The only She autonomous county in China is located in Lishui.,,,How are duplication events studied?,"Duplication events are studied through a combination of computational bioinformatics, phylogenetic analysis, and experimental laboratory approaches. These methods allow researchers to identify, date, and analyze the functional consequences of gene and genome duplications."
1750,"The English translation of ""huda"" is ""the guide.""",,,How much money was the move to satellite worth to the station over the following half decade?,"In the context of Ted Turner’s historic move to satellite with WTCG (later TBS) in 1976, the transition was worth an estimated $70 million to the station over the following five years."
1777,"Triangle Transit provides service to the Raleigh-Durham International Airport and Research Triangle Park, in addition to the region's principal cities and larger suburban communities.",,,Where else does Triangle Transit go to?,"""Triangle Transit"" is the former name for GoTriangle, the regional transit provider for the Research Triangle area of North Carolina. GoTriangle provides service to a variety of cities and towns, and connects with other local transit systems (GoRaleigh, GoDurham, Chapel Hill Transit, GoCary, GoApex, Orange County Public Transportation, and PART)."
1791,The primary location of London's Sikh population is in Southall.,,,Where is London's Sikh population primarily located?,"London's Sikh population is primarily concentrated in the western boroughs, with additional significant communities in the northeast and southeast of the city."
1793,The native term used by Pennsylvania Dutch speakers to refer to their language is Deitsch.,,,What's the native Pennsylvania Dutch word for the language?,The native Pennsylvania Dutch word for the language is Deitsch.
1809,"In the ""Abuse of Reason"" project, Hayek specifically aimed to expose the fundamental misconceptions about the social sciences that underlay a number of popular doctrines and beliefs at the time.",,,What did Hayek specifically aim to expose in Abuse of Reason?,"In his Abuse of Reason project, Friedrich Hayek specifically aimed to expose scientism—the ""slavish imitation"" and misguided application of natural science methods to the study of society."
1829,"Some of the major resorts in Tucson are located in the Catalina Foothills area, which is situated in the foothills of the Santa Catalina Mountains just north of the city limits.",,,Where are some of the major resorts of Tuscon?,"Tucson is home to many major resorts, which typically blend with the natural desert landscape and offer a range of amenities. Here are some of the most prominent resorts:"
1834,"A total of 180,000 Greek Cypriots were evicted from their homes in the north due to the conflict.",,,How many Greek Cypriots had been displaced from their homes?,"As of 2026, various historical and governmental sources report that between 150,000 and 200,000 Greek Cypriots were displaced from their homes during the conflict-ridden period of the mid-20th century. The vast majority of these displacements occurred as a result of the 1974 Turkish invasion of Cyprus."
1840,The Achaemenid era occurred during the 5th century BC.,,,When was the Achaemenid era?,"The Achaemenid era, also known as the First Persian Empire, spanned approximately from 550 BCE to 330 BCE."
1864,"The Edo period, which lasted from 1600 to 1868, is a historical era in Japan.",,,What time is referred to as the Edo period?,"The Edo period, also known as the Tokugawa period, refers to the years between 1603 and 1868 in Japanese history."
1867,"The development of the early Greek states coincided with a Paleo-Balkan sprachbund, which makes it challenging to clearly define the boundaries between distinct languages, complicating the attribution of linguistic features and differences.",,,What was the year of Greece's EMU membership qualification?,Greece qualified for membership in the Economic and Monetary Union (EMU) and adopted the euro in 2001.
1869,Barcelona began the construction of a new stadium in 1954.,,,In what year did Barcelona begin the construction of a new stadium?,"Barcelona first began the construction of a new stadium, the iconic Camp Nou, in 1954. The first stone was laid on March 28, 1954, and the stadium was inaugurated on September 24, 1957, replacing their smaller previous ground, Camp de Les Corts."
1873,The Han Chinese make up the majority of the population in China.,,,What ethnic group make up the most people in China?,"The Han Chinese are the most populous ethnic group in China. As of January 2026, they comprise approximately 91.11% of the country's total population."
1890,Gaddafi claimed that invading colonialists would be afflicted by malaria and sleeping sickness.,,,What illnesses did Gaddafi claim would afflict invading colonialists?,"In a speech to the United Nations General Assembly in 2009, Muammar Gaddafi claimed that ""swine flu"" and potential future illnesses like ""fish flu"" would afflict the world, including what he termed invading colonialists."
1896,This perspective on the relationship between schooling and earnings has not only inspired numerous studies but also generated significant controversy.,,,"This view of how schooling and earnings has sparked a lot of studies, but what else has it brought up?","The view that schooling is an investment in future earnings, primarily driven by human capital theory, has sparked extensive research into individual and national wealth. However, this perspective has also brought several critical debates and broader areas of study to the forefront:"
1900,The signal-to-noise ratio is defined as the standard deviation of a weighted average of the luminance and color values of individual pixels.,,,What is a definition of signal-to-noise ratio?,"Signal-to-noise ratio (SNR) is a mathematical measure that quantifies how much a desired signal (useful information) stands out from background noise (unwanted interference). It is a critical indicator of signal quality across various fields, including telecommunications, audio engineering, medical imaging, and data science."
1902,"Kanye West's 2011 fashion label, DW Kanye West, was designed for women.",,,Form whom was Kanye's 2011 fashion label designed for?,"Kanye West's 2011 fashion label, DW Kanye West (also known as Dw by Kanye West), was a womenswear line designed for women."
1905,Masayuki Uemura was the designer responsible for creating both the original Famicom (NES) and the Super Famicom (SNES).,,,Who designed both the NES and SNES?,Lance Barr is the industrial designer credited with the final look of both the NES (Nintendo Entertainment System) and the SNES (Super Nintendo Entertainment System) in the North American market.
1917,One of Napoleon's primary goals was to enforce the Continental System against the French.,,,One of Napoleon's primary goals was to enforce the Continental System against whom?,One of Napoleon's primary goals was to enforce the Continental System against Great Britain.
1937,The purpose of the Kinsale Road flyover was to increase congestion and delays for traffic heading to Cork Airport or Killarney.,,,What was the purpose of the Kinsale Road flyover?,"The Kinsale Road flyover in Cork, Ireland, was built to alleviate severe traffic congestion and remove one of the country's ""most infamous bottlenecks""."
1938,"In May 2011, Royal Dutch Shell finalized the investment decision for the world's first floating liquefied natural gas (FLNG) facility.",,,The final investment decision for what was finalized by Royal Dutch Shell in May 2011?,
1940,"Alexander Graham Bell served as the second president of the National Geographic Society magazine from January 7, 1898 until 1903.",,,Bell was the second president of what magazine?,"Alexander Graham Bell was the second president of the National Geographic Society and had a profound influence on its publication, National Geographic Magazine."
1942,"According to the surveys, 74.36% of the population in Zhejiang may be irreligious.",,,What percent of the population may be irreligious?,"Approximately 24% of the global population may be irreligious (religiously unaffiliated). This group, often referred to as ""nones,"" includes atheists, agnostics, and those who say their religion is ""nothing in particular""."
1953,The Ottoman Empire joined the side of the Central Powers in World War 1.,,,Which side did the Ottoman Empire join in World War 1?,"The Ottoman Empire joined the Central Powers during World War I. This coalition primarily consisted of the German Empire and Austria-Hungary, with the Kingdom of Bulgaria joining later in 1915."
1962,"Khalid Sheikh Mohammed, who was the third-highest-ranking official in al-Qaeda at the time of his capture, was apprehended by Pakistani authorities.",,,Which third-highest-ranking al-Qaeda officer was captured?,"Abu Farraj al-Libbi is the high-ranking al-Qaeda officer most widely recognized for his capture while holding the alleged position of ""number three"" in the organization."
1964,John Dewey was the philosopher who developed the theory of instrumentalism.,,,Who came up with 'instrumentalism'?,"The term instrumentalism was coined and primarily developed by the American pragmatist philosopher John Dewey (1859–1952). He first introduced this ""instrumental theory of knowledge"" in his work Studies in Logical Theory (1903) and later explicitly adopted the name in the 1916 edition of Essays in Experimental Logic."
1975,The Prime Minister is elected by the Parliament.,,,The Prime Minister is elected by who?,"In parliamentary systems, a Prime Minister is typically not directly elected by the general public. Instead, they are selected through an indirect process that varies by country."
1988,"10/13 Communications is based in Boulder, Colorado.",,,Where is 10/13 based?,"""10/13"" (Ten Thirteen) typically refers to the production company Ten Thirteen Productions, which is based in Los Angeles, California."
1996,Modern dogs likely originated when human beings were still hunter-gatherers.,,,Modern dogs likely began when human beings were considered to be what?,Modern dogs likely began their evolutionary journey when human beings were still considered to be hunter-gatherers.
