answer,type,context,question,model_context
"Lord Wellesley was the British politician who, through his aggressive policies, helped the East India Company gain control over nearly all of India.",factual,,"What Lord helped the EIC through his politics, take control over all of india?","The person widely credited as the ""Lord"" who used his political and military influence to help the East India Company (EIC) establish control over Bengal and lay the foundation for British rule in India is Robert Clive, also known as Clive of India. He was the 1st Baron Clive of Plassey."
Israel holds the top rank globally in terms of expenditure on Research and Development as a percentage of GDP.,factual,,Israel is ranked 1st in the world in what?,"Israel currently holds the #1 world ranking in several key metrics related to innovation and research, according to the 2025 Global Innovation Index:"
"A moveable platform was used to improve sound quality in early recordings for special effects, allowing performers to be drawn nearer or further away as needed.",factual,,What tool was used to improve sound quality in early recordings for special effects?,"In the early 20th century, the triode vacuum tube (specifically Lee De Forest’s Audion tube) was the critical tool used to improve sound quality by providing the first reliable means of electronic amplification. Before this, recordings were entirely mechanical and suffered from low volume and a very narrow frequency range."
"The court was seeking a legal definition for the term ""religion"" when it referenced Jefferson's letter.",factual,,"What was the court seeking, in using Jefferson's letter?","In using Thomas Jefferson’s 1802 letter to the Danbury Baptist Association, the Supreme Court was seeking an authoritative interpretation of the First Amendment's religion clauses."
The first degree ceremony in Freemasonry is the Entered Apprentice.,factual,,What is the first of degree ceremonies?,"In modern academic tradition, the Academic Procession is the first event of a degree ceremony. This formal march into the venue signifies the opening of the commencement celebration and serves as the first occasion for candidates to be recognized as graduates-to-be."
Paramount Pictures acquired DreamWorks in the year 2005.,factual,,In what year did Paramount Pictures purchase DreamWorks?,"Paramount Pictures reached an agreement to purchase DreamWorks SKG in December 2005, a deal that was officially completed on February 1, 2006."
The defeat of Japan resulted in the country becoming democratized.,factual,,What did the defeat of Japan mean for Asia?,"The defeat of Japan in World War II had profound and contradictory consequences for Asia, primarily leading to the end of Western imperialism and the rise of independent nationalist movements, while simultaneously drawing the continent into the emerging Cold War conflicts."
"A constant-voltage source, such as batteries, provides a stable voltage output.",factual,,What is a constant-voltage source?,"A constant-voltage (CV) source is an electrical power supply that maintains a fixed output voltage regardless of how much current is drawn by the connected load. In this mode, the voltage remains stable, while the current varies proportionally to the load's resistance according to Ohm's Law."
The vinyl LP records era commenced in the year 1949.,factual,,When did the vinyl LP records Era begin?,"The era of the modern vinyl LP (Long Play) record began on June 21, 1948, when it was commercially introduced by Columbia Records."
The doctrines of Jehovah's Witnesses are established by the Governing Body.,factual,,Who establishes the doctrines of the Jehovah's Witnesses?,The doctrines of Jehovah's Witnesses are established and updated by a central leadership body known as the Governing Body.
Billaut captured Chihuahua in the year 1865.,factual,,In which year did Billaut capture Chihuahua?,"French General Auguste Henri Brincourt captured Chihuahua City on August 15, 1865, during the Second French intervention in Mexico."
"Seleucia took over as the metropolis of the lower Tigris, replacing Babylon in that role.",factual,,What replaced Babylon as the metropolis of the lower Tigris?,"After its decline, Babylon was replaced as the metropolis of the lower Tigris region by a succession of other cities, primarily Seleucia and then Ctesiphon, before the eventual founding of Baghdad."
Anglicans celebrate the Presentation of Christ in the Temple on February 2nd.,factual,,On what date is the Presentation of Christ in the Temple celebrated by Anglicans?,Anglicans celebrate the Presentation of Christ in the Temple on February 2.
"The Swiss national football team is nicknamed the ""Nati"".",factual,,What is the nickname for the Swiss national football team?,"The primary nickname for the Swiss national football team is Nati (pronounced similarly to ""Natsi"" in some regions), which is short for Nationalmannschaft in German."
"After their victory in the Battle of Mohács in 1526, the Ottoman Empire expanded Turkish rule into the territory of present-day Hungary, with the exception of the western part of the country.",factual,,After a victorious battle in 1526 in what present-day nation was Turkish rule expanded to?,"Following the victorious Battle of Mohács on August 29, 1526, Turkish rule expanded into the territory of the present-day nation of Hungary."
Pelayos was fighting against the Moors.,factual,,Against which group of people was Pelayos fighting?,"Pelayo (also known as Pelagius of Asturias) was fighting against the Umayyad Caliphate, a group often referred to in historical texts as the Moors, Arabs, or Saracens."
"The English name of Sulami's major work is ""Truths of Exegesis.""",factual,,What is the English name of Sulami's major work?,The major work of the prominent Sufi scholar Abu 'Abd al-Rahman al-Sulami is known in English as The Generations of the Sufis (Arabic: Tabaqat al-Sufiyya).
Yeltsin was the president of the Russian Federation.,factual,,What was Yeltsin president of?,"Boris Yeltsin (1931–2007) was the first President of the Russian Federation, serving from July 10, 1991, until his surprise resignation on December 31, 1999."
Georgian architecture is known for its emphasis on proportion and balance.,factual,,Georgian architecture is characterized by?,"Georgian architecture (1714–1830) is primarily characterized by symmetry, classical proportion, and elegant simplicity. Named after the four British King Georges, the style draws heavily from the classical Greek and Roman designs revived during the Renaissance."
"After Attila's death, the Huns either fled to Asia or assimilated into the European population.",factual,,What happened to the Huns after Attila's death?,"After Attila's sudden death in 453 AD, the Hunnic Empire—which was held together primarily by his personal charisma and military success—collapsed rapidly due to internal conflict and external revolts."
The first president of modern Greece was Ioannis Kapodistrias.,factual,,Who was modern Greece's first president?,"Modern Greece's first head of state was Count Ioannis Kapodistrias, who was elected by the Third National Assembly at Troezen in 1827."
This season had four judges on the panel.,factual,,How many judges did this season have?,"To provide the most accurate answer, it helps to know which show you're watching! However, for the major competitions currently or recently on air as of early 2026:"
"The home city of the International Bell Telephone Company was Brussels, Belgium.",factual,,What was the home city for the International Bell Telephone Company?,"The home city for the International Bell Telephone Company (IBTC) was Brussels, Belgium. The company was established there in 1879 by the American Bell Telephone Company to manage its European operations."
"The war after which England gained New York in exchange for Run, an Indonesian island, was the Second Anglo-Dutch War.",factual,,"After which war did England gain New York in exchange for Run, an Indonesian island?","England gained New York after the Second Anglo-Dutch War, with the exchange formalized in the Treaty of Breda in 1667."
"Eduard Shevardnadze was promoted to full member of the Politburo on July 1, 1985.",factual,,When did Eduard Shevardnadze gain full membership in the Politburo?,"Eduard Shevardnadze gained full membership in the Soviet Politburo on July 1, 1985."
"""The Time of My Life"" was the winning song of the American Idol Songwriter contest, but it was not used as the ""coronation song"" for either of the final two contestants.",factual,,What was the coronation song?,"While many songs are played during a royal ceremony, the most famous ""coronation song"" is actually a set of four anthems composed by George Frideric Handel for the coronation of King George II in 1727."
"When a referee gives out a yellow card and writes down the player's name in their official notebook, it is referred to as the player being ""booked.""",factual,,A referee gives out a yellow card and writes down the players name in his notebook which is called being what?,"In association football (soccer), when a referee shows a player a yellow card and records their details in a notebook, it is commonly called being ""booked""."
The nations that were once part of the 19th century empires have largely abandoned the term Near East.,factual,,Who has abandoned the term Near East?,"The term ""Near East"" has been largely abandoned by most major international governments and news organizations in favor of ""Middle East,"" though some historical and specialized institutions still use it."
"The Supreme Court of the Netherlands has the authority to interpret legislation against certain treaties, but it is prohibited from testing legislation against the constitution due to the principle of the sovereignty of the States-General.",factual,,What areas of interpretative oversight does the supreme court have?,"The Supreme Court's interpretative oversight extends to the meaning of the U.S. Constitution and federal statutes, ensuring that legislative and executive actions remain within their legal boundaries."
The FIFA Disciplinary Committee imposed the four-month ban on Suárez.,factual,,Who banned Saurez for four months after he bit another player?,The FIFA Disciplinary Committee banned Luis Suárez for four months following his bite on Italian defender Giorgio Chiellini during the 2014 World Cup.
"The ribosome binding site, terminator, and start and stop codons are located in the untranslated regions at both ends of the transcribed pre-mRNA.",factual,,"Where are the ribosome binding site, terminator and start and stop codons located on transcribed pre-mRNA?","In transcribed pre-mRNA, these components are organized spatially to facilitate the transition from transcription to translation. Note that while pre-mRNA contains these sequences, ""ribosome binding"" and ""start/stop codon"" functions are ultimately realized in the mature mRNA after processing."
The Southern Nazarene University was founded by the Church of the Nazarene.,factual,,Who founded the Southern Nazarene University,"Southern Nazarene University (SNU) considers 1899 its founding date, though the modern institution is the result of several historical mergers. Key figures in its establishment include:"
"During the Classical era, the fundamental components needed for an orchestra became more standardized.",factual,,What became more standardized during the classical era?,"During the Classical era (c. 1750–1820), standardization occurred across musical forms, instrumentation, and performance practices to emphasize clarity and balance."
"Olympic Air holds a silver ERA award for being named ""Airline of the Year.""",factual,,What does Olympic Air hold a silver ERA award for?,Olympic Air holds a Silver ERA Award for the Airline of the Year 2010/11.
"The ""pure hunter-gatherer"" has disappeared, as they ceased to exist not long after colonial or agricultural contact began.",factual,,What type of hunter-gatherer has disappeared ?,Recent genetic and archaeological discoveries have identified several distinct types of hunter-gatherer populations that have completely disappeared or were replaced:
The Bamako Initiative began in the year 1987.,factual,,When did the Bamako Initiative begin?,"The Bamako Initiative began in 1987, at a meeting of African Ministers of Health held in Bamako, Mali. The initiative was launched by the World Health Organization (WHO) and UNICEF."
"The short story that inspired the name ""Hildebrand Rarities and Antiques"" is ""The Hildebrand Rarity"" from the For Your Eyes Only short story collection.",factual,,What short story inspired the name Hildebrand Rarities and Antiques?,"The name Hildebrand Rarities and Antiques is inspired by the James Bond short story ""The Hildebrand Rarity"" by Ian Fleming, originally published in 1960."
The sisters were required to wear a black veil.,factual,,What type of veil must the sisters wear?,"In religious traditions, particularly within the Catholic Church, the specific veil a sister wears signifies her stage of formation and commitment to her religious order:"
The kundere sound originates from the Bissagos Islands.,factual,,What sound comes from the Bissagos Islands?,"The unique sound of the Bissagos Islands is primarily characterized by traditional, rhythmic drum music known as kundere, often performed as ceremonial dance music. This music uses specific instruments like the calabash, handheld wooden drums, and the large cangueran etona drum."
The wata is a traditional Eritrean instrument that is similar to a rudimentary or distant cousin of the violin.,factual,,"What is the Eritrean traditional instrument, the wata?","The wata (also known as chera-wata or masenqo) is a traditional Eritrean and Ethiopian single-stringed bowed lute. It is a central feature of cultural festivities, weddings, and religious ceremonies, often serving as a ""one-man band"" that can stand alone or accompany other traditional genres."
"The European Union exercises collective influence through alternative means such as trade and diplomacy, rather than relying on military dominance.",factual,,What other tools are used as alternative to military force?,"When direct military intervention is off the table, nations typically turn to a ""toolkit"" of political, economic, and social levers to influence international outcomes."
The Times was rescued from financial collapse in 1890 by the energetic editor Charles Frederic Moberly Bell.,factual,,Which energetic editor rescued The Times from financial collapse in 1890?,The energetic editor who rescued The Times from financial collapse in 1890 was Charles Frederic Moberly Bell.
The company responsible for managing electricity supply in Hyderabad is the Telangana Southern Power Distribution Company Limited.,factual,,Which company is responsible for electricity in Hyderabad?,"The company responsible for electricity distribution in Hyderabad is the Telangana State Southern Power Distribution Company Limited (TGSPDCL), also known by its former name TSSPDCL. It is a state-owned corporation under the Government of Telangana."
Gaius Gracchus was murdered on Capitoline Hill in the city of Rome.,factual,,What was the location of the Gaius Gracchus murder?,"Gaius Gracchus died in 121 BC in the Grove of Furrina (also known as the Lucus Furrinae), located on the Janiculum Hill across the Tiber River from central Rome."
Act 21 promotes the tourism market in Namibia.,factual,,What market does Act 21 promote?,"""Act 21"" can refer to several different legislative acts and a specific software company, each promoting a different market or area:"
"In a compensation system that utilizes chains, the chain is guided by a bar that is mounted between the counterweight railway lines.",factual,,What is the chain guided by in a compensation system that uses chains?,"In a compensation system that uses chains, such as in high-rise elevators, the chain is guided by guide rollers, guide wheels, or guide channels. These components ensure the compensation chain remains stable and correctly aligned as it moves between the elevator car and the counterweight."
"The term ""bel"" was invented by Bell Labs.",factual,,"What lab invented the term ""bel.""",The unit of measurement bel (B) was invented by Bell Laboratories in the early 1920s.
The inhabitants of Paquime sought refuge in the Sierra Madre Occidental.,factual,,Where did the Paquime seek refuge?,"In the final stages of the city's collapse, particularly during the ""Diablo Phase"" around 1340 CE, some inhabitants of Paquimé (Casas Grandes) sought refuge within the ruins of multi-story adobe buildings, such as the ""House of the Serpent,"" attempting to seal entryways with stone against enemy attackers."
Penicillin is included in the category of beta-lactam antibiotics.,factual,,What type of antibiotics include penicilin?,"Penicillins are a major subclass of beta-lactam antibiotics, characterized by a specific chemical structure called a beta-lactam ring. This group includes a wide variety of medications derived from the Penicillium fungus, which are typically categorized based on their chemical modifications and the types of bacteria they target."
The Famagusta harbour was completed in 1906.,factual,,What years was the Famagusta harbour completed?,"The modern Famagusta harbour was developed in phases, with significant construction projects completed in 1905, 1933, and 1966."
The average annual temperature in southeast Oklahoma is 62 degrees Fahrenheit.,factual,,What is the average annual temperature in southeast Oklahoma?,"The average annual temperature in southeast Oklahoma is approximately 62°F to 64°F ( $16.7\degree C$ to $17.8\degree C$). Temperatures in Oklahoma generally increase from northwest to southeast, with the southern border areas being the warmest in the state."
Brandenburg was part of the dominant Holy Roman Empire.,factual,,Brandenburg was part of what dominating force?,"Brandenburg was the nucleus and power base of the Kingdom of Prussia, which in turn was the dominating force behind the 19th-century unification of Germany and the leading state of the subsequent German Empire."
The name Oklahoma was suggested by Choctaw Chief Allen Wright.,factual,,Who suggested the name Oklahoma?,"The name Oklahoma was suggested by Allen Wright, who served as the Principal Chief of the Choctaw Nation from 1866 to 1870."
The National Human Rights Commission is made up of 15 individuals with diverse backgrounds.,factual,,Once the decision was made to bring the group together who was it comprised of ?,"Once the decision was made to launch the Manhattan Project, the group brought together was a massive collaboration of scientific, military, and industrial talent. At its peak, the project employed nearly 130,000 people."
"By having three members on the council in Calcutta from the British Government, they were always able to outnumber and outvote the two East India Company members.",factual,,By having 3 members on the council in Calcutta from the British Government they were always able to ____ the two EIC members?,"By having three members on the council in Calcutta nominated by the British Parliament, the government was always able to outvote the two East India Company (EIC) members."
"The earliest records known to exist were derived from the Tibeto-Burman-speaking Pyu city-states, who migrated from present-day Yunnan.",factual,,From what people have were the first records known to be existent derived from? ,"The first known records derived from the Sumerian and Egyptian peoples of the late 4th millennium BCE. While human communication through cave paintings and symbolic markings dates back over 30,000 years, formal record-keeping and writing emerged independently in these regions around 3500–3200 BCE."
John Edwards was a senator from North Carolina.,factual,,Where was John Edwards a senator?,John Edwards served as a United States Senator from North Carolina.
The French Ministry of Foreign Affairs holds authority over Longwood House.,factual,,Who has authority over Longwood house?,"Longwood House is owned by the Government of France, specifically the French Ministry for Europe and Foreign Affairs. Authority over the site is delegated to the non-profit company, Saint Helena Napoleonic Heritage Ltd."
The military action against Libya was called Operation Unified Protector.,factual,,What was the name of the military action against Libya?,"Several major military operations have been conducted against or in Libya, most notably during 1986 and 2011:"
The government of Somalia operates two official radio and television networks.,factual,,How many official rado iand TV networks does the governemt of Somalia run?,"The Federal Government of Somalia operates two primary official media networks. These are managed by the Ministry of Information, Culture and Tourism and serve as the main public service broadcasters for the country:"
Trifecta Entertainment & Media holds the television distribution rights for Paramount's post-1949 releases.,factual,,Who holds TV distribution rights to Paramount's post-1949 releases?,"The TV distribution rights to Paramount's post-1949 releases are currently held by different entities depending on the specific rights and region, primarily falling under divisions of Paramount Global (now Paramount Skydance Corporation)."
North Carolina did not vote to join the Confederacy until they were called upon to invade South Carolina.,factual,,North Carolina did not vote to join the confederacy until they were ordered to invade what state?,North Carolina initially voted against secession in February 1861. The state did not vote to join the Confederacy until after the bombardment of South Carolina's Fort Sumter.
The Z3 operated at a clock frequency of approximately 5 to 10 Hz.,factual,,What did the Z3 operate for a clock frequency?,"The Z3 computer, completed by Konrad Zuse in 1941, operated at a clock frequency typically cited between 5 and 10 Hz."
Thailand is treated in the same manner as other Axis-occupied countries by the United States.,factual,,Is Thailand treated differently than other Axis countries?,"Yes, Thailand was treated differently than other Axis powers following World War II, primarily due to the diplomatic efforts of the Free Thai Movement (Seri Thai) and a strategic split between the United States and the United Kingdom."
Douglas Mawson retired in 1931 after leading several expeditions.,factual,,When did Mawson retire after leading several expeditions?,Sir Douglas Mawson officially retired from his primary academic and professional career in 1952.
"Compass-M1 transmits in three frequency bands: E2, E5B, and E6.",factual,,What frequency bands does Compass-M1 transmit in?,"The Compass-M1 satellite transmits signals in three main frequency bands, which overlap with those used by the European Galileo system. The specific frequency bands and their center frequencies are:"
The groups that have been struggling to manage waste effectively in Nigeria are the municipal councils.,factual,,What type of groups have been failing to keep up with waste management in Nigeria?,"In Nigeria, various sectors have struggled to manage waste effectively, resulting in only 20% to 40% of total generated waste being correctly collected and disposed of."
"Apollo created a flower and named it after his lover, Hyacinthus.",factual,,What item did Apollo create and name after his lover?,"In Greek mythology, Apollo created the laurel wreath (or crown) from the branches of the laurel tree, which was named after his first love, the nymph Daphne."
The largest and most populous city in the Thar Desert is Jodhpur.,factual,,What is the most populous city in the Thar Desert?,"The most populous city in the Thar Desert region is Jodhpur, India, which has a population of approximately 1.5 million people."
Late Registration sold over 2.3 million copies in the United States by the end of 2005.,factual,,How many copies of Late Registration were sold in the United States?,"Kanye West's second studio album, Late Registration, has sold approximately 3.1 million copies in the United States."
Barcelona defeated Atlético Madrid to secure their 23rd La Liga title.,factual,,What team did Barcelona defeat to win their 23rd La Liga title?,"Barcelona defeated Atlético Madrid 1-0 to secure their 23rd La Liga title on May 17, 2015. Lionel Messi scored the decisive goal in the 65th minute at the Vicente Calderón Stadium, sealing the championship with a game to spare in the 2014-15 season."
Reciprocity typically functions within the exposure range of 1/1000 second to 1/2 second for normal photographic films.,factual,,In what range of exposures does reciprocity usually work?,"In photography, the Reciprocity Law states that exposure is a direct product of light intensity (aperture) and time (shutter speed). This relationship holds true within a specific ""safe"" range but fails at the extremes."
Prince Albert was baptized at St. Mary Magdalene's Church.,factual,,In which church was Prince Albert baptized?,"Prince Albert, the Prince Consort to Queen Victoria, was not baptized in a traditional church building. Instead, he was baptized into the Lutheran Evangelical Church on September 19, 1819, in the Marble Hall at Schloss Rosenau (Rosenau Palace), his birthplace near Coburg, Germany."
The editor of the Independent at the time was Simon Kelner.,factual,,Who was the editor of the Independent?,"Geordie Greig has been the Editor-in-Chief of The Independent since January 2023. He is a veteran journalist who previously edited several major UK publications, including the Daily Mail, the Mail on Sunday, and the Evening Standard."
John's royal household was composed of various groups of supporters.,factual,,John's royal household was based around what?,King John's royal household was primarily based around a nucleus of professional household knights who provided both military service and administrative support.
"Nasser's political style made intermediaries, such as organizations and individuals, unnecessary.",factual,,What did Nasser's political style render unnecessary?,"Gamal Abdel Nasser's political style, characterized by charismatic authority and a direct populist connection with the citizenry, rendered formal political institutions and pluralistic civil institutions unnecessary for his governance."
The most recent iPod Touch was released in the year 2015.,factual,,In what year was the most recent iPod Touch released?,"The most recent iPod Touch model, the seventh-generation, was released in 2019."
Tucson is located 60 miles north of the U.S.-Mexico border.,factual,,How many miles is Tuscon from the U.S.- Mexico border?,"Tucson is approximately 60 to 70 miles north of the U.S.-Mexico border, depending on your starting point in the city and your specific border destination."
Favre was speaking on behalf of the Government of National Defense.,factual,,Who was Favre speaking on behalf of?,"Brett Favre's public statements have been on behalf of several different entities and in a personal capacity, depending on the specific situation."
Richard Owen was the scientist who theorized that the earliest members of a class within a species were simple and generalized.,factual,,Which scientist theorized that the earliest members of a class in a species were simple and generalized?,The scientist who theorized that the earliest members of a class in a species (or higher taxonomic group) were simple and generalized is Edward Drinker Cope.
The historian who pointed out that Indian history places too much emphasis on the ranking of dynasties and invasions is Romila Thapar.,factual,,Who remarked Indian history is too devoted to the ranking of dynasties and invasions?,"This specific remark is attributed to Sir Alexander Cunningham, the first Director-General of the Archaeological Survey of India (ASI)."
The official co-language of Norfolk Island is Norfuk.,factual,,What is the official co-language of Norfolk Island?,"The official co-language of Norfolk Island is Norfuk (also spelled Norfolk or Norf'k), alongside English."
Approximately 800 words in the modern Portuguese language have origins tracing back to Arabic.,factual,,How many modern Portugese words have Arabic origins?,"Linguists estimate that modern Portuguese contains between 400 and 1,000 words of Arabic origin. While some older estimates suggest up to 3,000 words, many of these are technical, archaic, or shared with Spanish."
Nuclear fission was discovered by Otto Hahn and Fritz Strassmann in 1938.,factual,,Who discovered nuclear fission?,Nuclear fission was discovered through the collaborative work of a team of German and Austrian scientists in late 1938. The discovery is generally attributed to:
"The 1962 Supreme Court case that addressed the issue of officially sponsored school prayer was Engel v. Vitale, with the citation 370 U.S. 421.",factual,,What was the case in 1962 where the Supreme Court addressed the issue of officially sponsored school prayer?,"In 1962, the Supreme Court addressed officially sponsored school prayer in the landmark case Engel v. Vitale."
The average price to rent an average apartment in Bern was 1108.92 Swiss francs per month.,factual,,What was the average price to rent an average apartment in Bern?,"The average monthly price to rent an apartment in Bern generally ranges from approximately CHF 1,200 for a one-bedroom to CHF 2,500 or more for a three-bedroom apartment. Prices vary based on size, exact location (city center vs. outside), and specific amenities."
"Between the 2001 and 2011 censuses, the Plymouth unitary authority gained an additional 15,664 people.",factual,,How many people did the Plymouth unitary authority gain between 2001 and 2011?,"The Plymouth unitary authority gained 15,664 people between the 2001 and 2011 censuses."
The Wall Street Journal ranked BYU as the No. 11 institution with graduates who were top-rated by recruiters in a 2010 article.,factual,,Who ranked BYU as No. 11 of institutions whose grads were top-rated by recruiters in a 2010 article?,"In a September 2010 article, The Wall Street Journal ranked Brigham Young University (BYU) as No. 11 in its ""Top 25 Recruiter Picks""."
"After Oppenheimer suggested that the development of the hydrogen bomb should be delayed, Eisenhower took action by removing him from his position at the agency and revoking his security clearance.",factual,,What did Eisenhower do to Oppenheimer after he said that the hydrogen bomb should be delayed?,President Dwight D. Eisenhower responded to reports of J. Robert Oppenheimer's opposition to the hydrogen bomb and alleged communist ties by effectively exiling him from the U.S. nuclear establishment.
"Queen Victoria typically spent her Christmases at Osborne House, which is located on the Isle of Wight.",factual,,Where did Victoria usually spend Christmases?,Queen Victoria's Christmas location changed after her husband's death in 1861.
"In 1970, the Federal District was divided into sixteen delegaciones, which were under the control of the federal government.",factual,,How many districts does the federal government control in 1970?,"In 1970, the federal government's administrative and representative control was divided into several types of ""districts"":"
"The muse of music, Euterpe, is the name of the figure carved on Chopin's tombstone.",factual,,What is the name of the muse carved on Chopin's tombstone?,"The muse carved on Frédéric Chopin's tombstone is Euterpe, the Greek muse of music."
The first leg of Queen's mid-2000s tour with Paul Rodgers took place in Europe.,factual,,Where was the first leg of Queen's mid 2000s tour with Paul Rodgers?,The first leg of Queen’s mid-2000s collaboration with Paul Rodgers—known as the Return of the Champions Tour—took place in Europe.
"According to Darnton, it was the Grub Street hacks who inherited the ""revolutionary spirit"" that was once displayed by the philosophes.",factual,,"Which group inherited the ""revolutionary spirit"" once displayed by the philosophes, according to Darnton?","According to Robert Darnton, the ""revolutionary spirit"" once displayed by the philosophes was inherited by the Grub Street hacks."
"To be considered for a work permit in New Zealand, a Tuvaluan must have a job offer from a New Zealand employer.",factual,,What must a Tuvaluan have to be considered for a work permit in New Zealand?,"Tuvaluan citizens have several pathways to work in New Zealand, each with specific requirements:"
Schwarzenegger's jet was forced to make an emergency landing at Van Nuys Airport in 2009.,factual,,At what airport was Schwarzenegger's jet forced to make an emergency landing in 2009?,"On June 19, 2009, Arnold Schwarzenegger's jet was forced to make an emergency landing at Van Nuys Airport in the San Fernando Valley."
"In 2015, NBC Sports secured a six-year extension for their broadcasting rights with the Premier League.",factual,,How many years did NBC Sports receive an extension for with the Premier League in 2015?,"NBC Sports received a six-year extension for their exclusive U.S. media rights with the Premier League in 2015. The agreement, valued at around $1 billion, ran through the 2021-22 season."
Australia has not regularly used the formal ceremony of granting assent in parliament since the early 20th century.,factual,,Which country has not used the formal assention ceremony since the early 20th century?,"In the context of modern governance and constitutional tradition, several countries have moved away from formal ceremonies to mark the start of a reign or a legislative act."
The most common trait used to determine if varieties are dialects of the same language is mutual intelligibility.,factual,,What trait is the most common way of determining if languages are dialects?,"In linguistics, the most common trait used to determine if two speech varieties are dialects of the same language is mutual intelligibility."
King George Tupou V emphasized democracy by stating that he would be guided by his prime minister in exercising his powers.,factual,,What statement by King George Tupou emphasized democracy?,"In 2008, shortly before his formal coronation, King George Tupou V of Tonga issued a landmark statement announcing that he was ""voluntarily surrendering his powers to meet the democratic aspirations of many of his people""."
"In the United States, the sole power to pass legislation is held by Congress.",factual,,In the US who has the sole power to pass legislation?,"In the United States, the sole power to pass federal legislation is vested in Congress, which represents the legislative branch of the government. This authority is established by Article I, Section 1 of the U.S. Constitution."
The temperature at which the resin softens and expands is known as the glass transition temperature.,factual,,What's the temperature at which resin softens and expands called?,"The temperature at which a resin transitions from a rigid, ""glassy"" state to a soft, rubbery, and more flexible state is called the Glass Transition Temperature, typically abbreviated as $T_{g}$."
"A circuit within a computer component represents a single bit, or binary digit, of information.",factual,,A circuit in a computer part represents what?,"In a computer part, a circuit represents a complete circular path that allows electricity to flow through it to perform specific tasks. Depending on the context, it represents different things:"
The Supreme Court of Ireland is located in the Four Courts building in Dublin.,factual,,Where is Ireland's Supreme Court seated?,Ireland's Supreme Court is permanently seated in the Four Courts complex in Dublin.
General Ducrot was in command of the 1st Division.,factual,,What group did General Ducrot command?,"General Auguste-Alexandre Ducrot commanded several different groups throughout his career, most notably the 1st Army Corps at the start of the Franco-Prussian War and later the 14th Army Corps during the Siege of Paris. He also briefly held overall command of the entire French army at the Battle of Sedan."
"The doctrine that separated church and non-religious affairs was called the ""doctrine of the two kingdoms.""",factual,,What was the name of the doctrine that separated church and non-religious affairs?,The doctrine that separates religious and non-religious (civil) affairs is commonly known as the separation of church and state.
"John Shakespeare's profession was that of an inspector, specifically a borough ale taster, responsible for assessing the quality of ale provided by local alehouses.",factual,,What was John Shakespeare's profession?,"John Shakespeare, the father of William Shakespeare, was a multi-faceted businessman in 16th-century Stratford-upon-Avon. While he is most famously remembered as a glover (glove maker) and whittawer (leather worker), his professional life involved several other significant trades and official roles."
The Alps cover approximately 11 percent of Europe's total surface area.,factual,,How much of Europe does the Alps cover?,"The Alps cover approximately 11% of Europe's total landmass. This extensive mountain range stretches for about 1,200 km (750 miles) in a crescent shape across eight European countries."
"In Spain, 32% of the population supports Real Madrid.",factual,,How much of the population of Spain are supporters of Real Madrid?,"Approximately 32.4% of Spanish football fans support Real Madrid as their favorite team. Real Madrid is the most popular club in Spain by this metric, with FC Barcelona as the second most popular with 24.7% of fans."
The Russian population was estimated to be approximately 90 million fewer than it could have been by the year 1945.,factual,,When was the Russian population estimated to be about 90 million fewer than it could have been?,"In April 2014, demographers and analysts at The Globalist estimated that Russia’s population was about 85 to 90 million people fewer than it could have been."
"For evening type young adults, the lowest body temperature occurs at around 6:00 a.m.",factual,,What is the time of lowest temperature for evening type young adults?,"For young adults with an evening chronotype, the lowest core body temperature—known as the circadian nadir—typically occurs around 6:00 AM."
A celeste is a keyboard instrument that produces a bell-like sound.,factual,,What is a celestes?,"A celeste (also spelled celesta) is a keyboard percussion instrument that looks like a small upright piano but produces a delicate, bell-like sound."
"In Whitehead's cosmology, the only things that fundamentally exist are discrete ""occasions of experience"" that overlap one another in time and space.",factual,,"In Whitehead's cosmology, what are the only things that fundamentally exist?","In Alfred North Whitehead’s cosmology, specifically his ""Philosophy of Organism,"" the only things that fundamentally and finally exist are Actual Entities, also frequently called Actual Occasions."
"Southampton Solent University hosts the Warsash Maritime Academy, which specializes in providing training and certification for the international shipping and off-shore oil industries.",factual,,What specialized academy does Southampton Solent University host?,"Southampton Solent University hosts the Warsash Maritime School (formerly known as the Warsash Maritime Academy), a globally renowned specialized academy for maritime education and professional training."
"As per the terms of the Treaty of Pressburg, the defeated Habsburgs were required to pay an indemnity of 40 million francs.",factual,,How much did the Habsburgs have to pay as a result of the Treaty of Pressburg?,"As a result of the Treaty of Pressburg in 1805, the Habsburg monarchy (Austria) had to pay an indemnity of 40 million gold francs to France. Some sources mention the amount as 40 million florins or guldens, but the value is consistent."
The Spanish explorers ventured into regions that would eventually become 42 states within the United States.,factual,,Where in the United States did the Spanish explore?,"The Spanish explored and claimed vast areas across the southern half of the modern United States, from the Southeast (including Florida and the Atlantic coast) to the Southwest and Pacific Coast."
Not a single bridge over the Thames River was struck during the bombing campaign.,factual,,How many bridges over the Thames were struck?,"It is impossible to state an exact total number of Thames bridges that have been ""struck,"" as numerous minor contacts and collisions occur frequently, and historical records for every minor incident across all bridges are not centrally collated."
There are 140 miles of highways in Nanjing.,factual,,How many miles of highways are in Nanjing?,"The exact total mileage of all highways within the administrative boundaries of Nanjing is not specified in the search results. However, multiple national expressways and ring roads pass through or are located in Nanjing, including the G2503 Nanjing Ring Expressway, which is 103 miles (166 km) long."
